iterations,fitness,time,fevals
0,78.0,0.0005788,576
10,78.0,0.00112105,1063
20,77.0,0.001658072,1548
30,76.0,0.002168347,2032
40,76.0,0.002689845,2529
50,77.0,0.00313121,3000
60,78.0,0.003592634,3482
70,78.0,0.004058574,3977
80,77.0,0.004576274,4451
90,76.0,0.005025899,4934
100,77.0,0.005468765,5418
110,77.0,0.005932822,5899
120,78.0,0.006406637,6372
130,76.0,0.006848116,6846
140,74.0,0.007255584,7332
150,78.0,0.007656968,7813
160,75.0,0.00807164900001,8296
170,75.0,0.008462125,8763
180,78.0,0.008886611,9244
190,79.0,0.009313652,9731
200,79.0,0.00971213,10209
210,78.0,0.010097946,10682
220,81.0,0.010518596,11165
230,81.0,0.010893214,11654
240,83.0,0.011301774,12142
250,85.0,0.011676739,12623
260,78.0,0.012069993,13113
270,79.0,0.012445063,13601
280,85.0,0.012835374,14078
290,86.0,0.013231076,14570
300,82.0,0.013605823,15062
310,82.0,0.013978312,15549
320,80.0,0.014356511,16029
330,78.0,0.014718835,16513
340,79.0,0.015066139,16980
350,79.0,0.015438419,17456
360,78.0,0.015813039,17929
370,80.0,0.01618881,18401
380,78.0,0.016593139,18874
390,78.0,0.01699524,19361
400,78.0,0.017414239,19843
410,75.0,0.017826649,20310
420,75.0,0.018255456,20794
430,74.0,0.01866778,21285
440,74.0,0.01909008,21772
450,74.0,0.01948823,22263
460,74.0,0.019933264,22757
470,75.0,0.020327198,23245
480,73.0,0.020737927,23720
490,74.0,0.021159522,24203
500,73.0,0.021546966,24688
510,74.0,0.021960624,25160
520,80.0,0.022332646,25649
530,73.0,0.022701617,26131
540,75.0,0.023080752,26622
550,76.0,0.023431793,27100
560,76.0,0.023790257,27566
570,76.0,0.024140753,28036
580,77.0,0.024508452,28527
590,74.0,0.024870702,29001
600,76.0,0.025226562,29481
610,77.0,0.025584708,29975
620,76.0,0.025945752,30453
630,77.0,0.026432447,30935
640,78.0,0.026928656,31413
650,78.0,0.027387865,31897
660,77.0,0.027820596,32376
670,77.0,0.028300595,32860
680,77.0,0.02870989,33338
690,79.0,0.029122023,33794
700,78.0,0.029509556,34267
710,78.0,0.029922173,34752
720,82.0,0.030412194,35230
730,82.0,0.030909594,35718
740,82.0,0.031457066,36206
750,83.0,0.031975831,36690
760,82.0,0.032478687,37179
770,82.0,0.033007185,37659
780,82.0,0.033468226,38128
790,82.0,0.033909286,38605
800,82.0,0.034256974,39098
810,82.0,0.034624881,39577
820,82.0,0.035077925,40077
830,84.0,0.035523844,40555
840,83.0,0.035981921,41034
850,84.0,0.036404037,41511
860,85.0,0.036840927,41989
870,85.0,0.037265607,42452
880,84.0,0.037674704,42937
890,85.0,0.038094875,43419
900,83.0,0.038526221,43901
910,85.0,0.038961092,44385
920,85.0,0.039405758,44861
930,85.0,0.03981826,45337
940,83.0,0.040266632,45819
950,86.0,0.04068019,46299
960,85.0,0.041096468,46791
970,84.0,0.041504967,47281
980,87.0,0.041919651,47760
990,90.0,0.042341818,48240
1000,86.0,0.042768431,48712
1010,87.0,0.043193012,49190
1020,89.0,0.043622723,49672
1030,89.0,0.044053021,50165
1040,86.0,0.044483176,50646
1050,85.0,0.04491574,51121
1060,87.0,0.045346719,51597
1070,88.0,0.045786845,52085
1080,88.0,0.046219302,52570
1090,84.0,0.046578225,53045
1100,85.0,0.046960308,53518
1110,86.0,0.047351894,53991
1120,86.0,0.047727016,54472
1130,85.0,0.048090398,54968
1140,85.0,0.048466241,55441
1150,85.0,0.048821366,55920
1160,85.0,0.049195688,56397
1170,85.0,0.04958666,56881
1180,86.0,0.049961352,57370
1190,86.0,0.050331989,57849
1200,87.0,0.050708948,58329
1210,87.0,0.051066147,58811
1220,86.0,0.051411041,59297
1230,90.0,0.051772121,59775
1240,90.0,0.052168813,60262
1250,87.0,0.052561194,60737
1260,87.0,0.052948728,61213
1270,91.0,0.053323223,61704
1280,87.0,0.053705664,62181
1290,86.0,0.054118922,62672
1300,86.0,0.054537681,63146
1310,91.0,0.05498519,63626
1320,87.0,0.055424673,64112
1330,87.0,0.055878909,64590
1340,85.0,0.056344307,65076
1350,87.0,0.056800806,65559
1360,88.0,0.057268339,66043
1370,87.0,0.057686977,66537
1380,88.0,0.058097876,67017
1390,89.0,0.058539238,67513
1400,90.0,0.059000137,67992
1410,90.0,0.059481044,68461
1420,92.0,0.059840648,68946
1430,90.0,0.060193398,69439
1440,90.0,0.060557158,69914
1450,89.0,0.060939718,70375
1460,90.0,0.061288102,70856
1470,91.0,0.061663934,71334
1480,93.0,0.062043541,71811
1490,91.0,0.062415097,72286
1500,94.0,0.062765497,72753
1510,94.0,0.063155971,73211
1520,94.0,0.063504471,73687
1530,95.0,0.063869867,74177
1540,96.0,0.064220444,74659
1550,95.0,0.064589337,75147
1560,95.0,0.064946323,75631
1570,95.0,0.065303016,76112
1580,96.0,0.06563285,76591
1590,96.0,0.065972291,77072
1600,96.0,0.066294929,77557
1610,98.0,0.066601036,78030
1620,98.0,0.066889871,78513
1630,98.0,0.067183178,78987
1640,101.0,0.067456848,79465
1650,99.0,0.067744701,79960
1660,99.0,0.068027495,80449
1670,97.0,0.068314143,80932
1680,96.0,0.068629766,81416
1690,96.0,0.068943596,81897
1700,96.0,0.069240367,82386
1710,95.0,0.069539586,82885
1720,94.0,0.069853002,83362
1730,93.0,0.070165763,83853
1740,95.0,0.07048065,84335
1750,93.0,0.070877165,84815
1760,93.0,0.071286603,85298
1770,94.0,0.071724298,85773
1780,95.0,0.072137813,86258
1790,94.0,0.072570225,86731
1800,92.0,0.072991973,87220
1810,93.0,0.073407707,87702
1820,90.0,0.07381237,88183
1830,91.0,0.074225361,88659
1840,91.0,0.074645759,89150
1850,91.0,0.075055598,89619
1860,91.0,0.075474524,90107
1870,89.0,0.075897052,90590
