iterations,fitness,time,fevals
0,81.0,0.036147029,1000
10,88.0,0.065720666,2100
20,82.0,0.091205735,3200
30,83.0,0.111456201,4300
40,82.0,0.132419172,5400
50,82.0,0.151599312,6500
60,83.0,0.171269688,7600
70,83.0,0.189133295,8700
80,83.0,0.207547824,9800
90,83.0,0.226435872,10900
100,83.0,0.243649461,12000
110,83.0,0.262999959,13100
120,84.0,0.281086533,14200
130,84.0,0.30008387,15300
140,83.0,0.321084512,16400
150,83.0,0.338608475,17500
160,83.0,0.357755944,18600
170,83.0,0.375329292,19700
180,83.0,0.39245758,20800
190,83.0,0.409501095,21900
200,83.0,0.425711829,23000
210,84.0,0.443440495,24100
220,83.0,0.459768183,25200
230,83.0,0.477366254,26300
240,84.0,0.493809099,27400
250,84.0,0.512259493,28500
260,85.0,0.532330506,29600
270,85.0,0.551977292,30700
280,85.0,0.574294561,31800
290,85.0,0.596772387,32900
300,86.0,0.616432356,34000
310,85.0,0.63658681,35100
320,87.0,0.656342525,36200
330,87.0,0.674738906,37300
340,84.0,0.697784718,38400
350,85.0,0.720642706,39500
360,84.0,0.737856933,40600
370,84.0,0.757015541,41700
380,84.0,0.774946135,42800
390,84.0,0.795037598,43900
400,85.0,0.818808073,45000
410,85.0,0.838463074,46100
420,85.0,0.857007521,47200
430,86.0,0.875575923,48300
440,85.0,0.892309708,49400
450,85.0,0.910613212,50500
460,84.0,0.927908704,51600
470,84.0,0.945219645,52700
480,84.0,0.963009762,53800
490,85.0,0.979917383,54900
500,87.0,0.998059852,56000
510,84.0,1.014552673,57100
520,84.0,1.033326534,58200
530,84.0,1.051830971,59300
540,84.0,1.068866551,60400
550,85.0,1.086892021,61500
560,84.0,1.102710077,62600
570,84.0,1.120056546,63700
580,85.0,1.136277477,64800
590,84.0,1.153755322,65900
600,85.0,1.170003208,67000
610,84.0,1.188140751,68100
620,85.0,1.205575304,69200
630,84.0,1.223454075,70300
640,85.0,1.242449119,71400
650,85.0,1.260628584,72500
660,84.0,1.278315072,73600
670,84.0,1.294394049,74700
680,85.0,1.311990914,75800
690,85.0,1.33023101,76900
700,84.0,1.345938657,78000
710,87.0,1.363645195,79100
720,84.0,1.379067266,80200
