iterations,fitness,time,fevals
0,69.0,0.000420319,11
10,69.0,0.000631459,21
20,69.0,0.000796771,31
30,71.0,0.000972116,41
40,72.0,0.001139009,51
50,72.0,0.001311807,61
60,72.0,0.001534588,71
70,73.0,0.00171685,81
80,74.0,0.001981426,91
90,74.0,0.002253149,101
100,74.0,0.002520341,111
110,74.0,0.002647976,121
120,74.0,0.002827648,131
130,74.0,0.003058373,141
140,76.0,0.003221842,151
150,77.0,0.005688513,161
160,77.0,0.00584097,171
170,77.0,0.005948871,181
180,77.0,0.006037552,191
190,77.0,0.006141214,201
200,77.0,0.006239321,211
210,77.0,0.006364629,221
220,77.0,0.006442182,231
230,79.0,0.00653776,241
240,79.0,0.006592814,251
250,79.0,0.00672483,261
260,79.0,0.00678972,271
270,79.0,0.006886247,281
280,79.0,0.006978865,291
290,79.0,0.007060684,301
300,79.0,0.007153681,311
310,79.0,0.007260584,321
320,79.0,0.00737577,331
330,82.0,0.007562619,341
340,82.0,0.007710149,351
350,82.0,0.007879208,361
360,82.0,0.007949044,371
370,82.0,0.008013858,381
380,82.0,0.008141502,391
390,82.0,0.008244627,401
400,82.0,0.008360067,411
410,82.0,0.011280323,421
420,82.0,0.011367997,431
430,85.0,0.011438688,441
440,85.0,0.011509692,451
450,85.0,0.011582551,461
460,85.0,0.011649812,471
470,85.0,0.011735341,481
480,85.0,0.011792998,491
490,85.0,0.011854503,501
500,85.0,0.011906293,511
510,85.0,0.011956081,521
520,85.0,0.012006136,531
530,85.0,0.012069685,541
540,85.0,0.012129387,551
550,85.0,0.012168519,561
560,85.0,0.012216381,571
570,85.0,0.012274197,581
580,85.0,0.012312778,591
590,85.0,0.012384765,601
600,85.0,0.012425087,611
610,85.0,0.01246159,621
620,85.0,0.012498601,631
630,85.0,0.012611585,641
640,85.0,0.012700713,651
650,85.0,0.012848701,661
660,85.0,0.01291512,671
670,85.0,0.01298416,681
680,85.0,0.013058611,691
690,85.0,0.01312551,701
700,85.0,0.01319028,711
710,85.0,0.013253343,721
720,85.0,0.01336288,731
730,85.0,0.013440911,741
740,85.0,0.013508002,751
750,85.0,0.013570585,761
760,85.0,0.013628011,771
770,85.0,0.013676656,781
780,85.0,0.013720736,791
790,85.0,0.013759932,801
800,85.0,0.013800407,811
810,85.0,0.013847324,821
820,85.0,0.013894892,831
830,85.0,0.013948264,841
840,85.0,0.013985649,851
850,85.0,0.014047181,861
860,85.0,0.014128713,871
870,85.0,0.014264293,881
880,85.0,0.015189137,891
890,85.0,0.015269004,901
900,85.0,0.015330653,911
910,85.0,0.015363004,921
920,85.0,0.015396693,931
930,85.0,0.01542636,941
940,85.0,0.015480043,951
950,85.0,0.015539148,961
960,85.0,0.015586394,971
970,85.0,0.015628481,981
980,85.0,0.015666928,991
990,85.0,0.01572943,1001
1000,85.0,0.015807856,1011
1010,85.0,0.015869856,1021
1020,85.0,0.015922948,1031
1030,85.0,0.015968589,1041
1040,85.0,0.016026965,1051
1050,85.0,0.016068248,1061
1060,85.0,0.016106406,1071
1070,85.0,0.016129852,1081
1080,85.0,0.016149657,1091
1090,85.0,0.016238598,1101
1100,85.0,0.016264518,1111
1110,85.0,0.016293883,1121
1120,85.0,0.016326243,1131
1130,85.0,0.016358988,1141
1140,85.0,0.016391276,1151
1150,85.0,0.016423631,1161
1160,85.0,0.016457248,1171
1170,85.0,0.016508446,1181
1180,85.0,0.016545427,1191
1190,85.0,0.016586394,1201
1200,85.0,0.016621929,1211
1210,85.0,0.016659267,1221
1220,85.0,0.016705941,1231
1230,85.0,0.016801082,1241
1240,85.0,0.016841694,1251
1250,85.0,0.016883976,1261
1260,85.0,0.016926621,1271
1270,85.0,0.016997341,1281
1280,85.0,0.017092897,1291
1290,85.0,0.017151037,1301
1300,85.0,0.017220866,1311
1310,85.0,0.017353848,1321
1320,85.0,0.017458197,1331
1330,85.0,0.017568413,1341
1340,85.0,0.017618224,1351
1350,85.0,0.017676793,1361
1360,85.0,0.017751957,1371
1370,85.0,0.017795088,1381
1380,85.0,0.017833345,1391
1390,85.0,0.017870867,1401
1400,85.0,0.017908684,1411
1410,85.0,0.017953373,1421
1420,85.0,0.017991502,1431
1430,85.0,0.018033752,1441
1440,85.0,0.018070387,1451
1450,85.0,0.018112951,1461
1460,85.0,0.018152812,1471
1470,85.0,0.018190008,1481
1480,85.0,0.018232035,1491
1490,85.0,0.01826734,1501
1500,85.0,0.018341553,1511
1510,85.0,0.018374914,1521
1520,85.0,0.01841398,1531
1530,85.0,0.01845222,1541
1540,85.0,0.018536873,1551
1550,85.0,0.018608476,1561
1560,85.0,0.018651924,1571
1570,85.0,0.018693367,1581
1580,85.0,0.018734645,1591
1590,85.0,0.018806876,1601
1600,85.0,0.018895044,1611
1610,85.0,0.019003042,1621
1620,85.0,0.019074692,1631
1630,85.0,0.019112152,1641
1640,85.0,0.019215694,1651
1650,85.0,0.01927216,1661
1660,85.0,0.019332849,1671
1670,85.0,0.019390287,1681
1680,85.0,0.019467882,1691
1690,85.0,0.019541461,1701
1700,85.0,0.019639114,1711
1710,85.0,0.019724597,1721
1720,85.0,0.019774014,1731
1730,85.0,0.019808014,1741
1740,85.0,0.019857855,1751
1750,85.0,0.019905104,1761
1760,85.0,0.019942085,1771
1770,85.0,0.020010208,1781
1780,85.0,0.020045751,1791
1790,85.0,0.020078222,1801
1800,85.0,0.020108603,1811
