iterations,fitness,time,fevals
0,67.0,1.2382e-05,11
10,68.0,2.02869999999e-05,21
20,69.0,2.74429999998e-05,31
30,71.0,3.71119999998e-05,41
40,71.0,4.66419999998e-05,51
50,72.0,5.54469999998e-05,61
60,73.0,6.39659999997e-05,71
70,74.0,7.23459999996e-05,81
80,76.0,8.07419999995e-05,91
90,77.0,8.98499999995e-05,101
100,77.0,9.99679999996e-05,111
110,77.0,0.000108669,121
120,77.0,0.000143099,131
130,77.0,0.000175475999999,141
140,77.0,0.000206125,151
150,77.0,0.000232851,161
160,77.0,0.000247072,171
170,77.0,0.000256155,181
180,77.0,0.000267927,191
190,77.0,0.000275947,201
200,77.0,0.000284568,211
210,77.0,0.000293851,221
220,78.0,0.000300801,231
230,78.0,0.000309131,241
240,78.0,0.000316342,251
250,78.0,0.000324072,261
260,78.0,0.000333357,271
270,79.0,0.000341504,281
280,79.0,0.000355168,291
290,80.0,0.000365037,301
300,81.0,0.00037386,311
310,81.0,0.000382275,321
320,82.0,0.000391251,331
330,82.0,0.000399261,341
340,82.0,0.000408092,351
350,82.0,0.000415630999999,361
360,82.0,0.000425559999999,371
370,82.0,0.000433518999999,381
380,82.0,0.000443759999999,391
390,82.0,0.000452983999999,401
400,82.0,0.000464096999999,411
410,82.0,0.000473956999999,421
420,82.0,0.000482303999999,431
430,82.0,0.000489758999999,441
440,82.0,0.000500033999999,451
450,82.0,0.000508267999999,461
460,82.0,0.000516599999999,471
470,82.0,0.000525692999999,481
480,82.0,0.000533251999999,491
490,82.0,0.000542327999999,501
500,82.0,0.000550917999999,511
510,82.0,0.000559029999999,521
520,82.0,0.000566927999999,531
530,82.0,0.000575892999999,541
540,82.0,0.000583755999999,551
550,82.0,0.000592319999999,561
560,84.0,0.000600385999999,571
570,84.0,0.000609251999999,581
580,84.0,0.000616945999999,591
590,85.0,0.000625700999999,601
600,85.0,0.000639316999999,611
610,85.0,0.000647593999999,621
620,85.0,0.000655616999999,631
630,85.0,0.000664475999999,641
640,85.0,0.000672052999999,651
650,86.0,0.000678971999999,661
660,86.0,0.000685820999999,671
670,86.0,0.000693415999999,681
680,86.0,0.000701517999999,691
690,86.0,0.000716285999999,701
700,86.0,0.000728599999999,711
710,86.0,0.000739138999999,721
720,86.0,0.000749497999999,731
730,87.0,0.000764479999999,741
740,87.0,0.000780524999999,751
750,90.0,0.000795383999999,761
760,93.0,0.000809794999999,771
770,93.0,0.000826789999999,781
780,93.0,0.000842667999999,791
790,93.0,0.000858504999999,801
800,93.0,0.000874755999999,811
810,93.0,0.000890099999999,821
820,93.0,0.000905620999999,831
830,94.0,0.000919867999999,841
840,94.0,0.000935798999999,851
850,94.0,0.000951731999999,861
860,95.0,0.000966623999999,871
870,95.0,0.000983102999999,881
880,95.0,0.000998238999999,891
890,95.0,0.001014087,901
900,95.0,0.001030497,911
910,95.0,0.001045919,921
920,95.0,0.001061199,931
930,95.0,0.001078985,941
940,95.0,0.001094552,951
950,95.0,0.001110224,961
960,95.0,0.001127532,971
970,95.0,0.001143337,981
980,95.0,0.001159087,991
990,95.0,0.001174833,1001
1000,95.0,0.001191423,1011
1010,95.0,0.001206663,1021
1020,95.0,0.001222399,1031
1030,95.0,0.001238168,1041
1040,95.0,0.001253676,1051
1050,95.0,0.00126925,1061
1060,95.0,0.001285266,1071
1070,95.0,0.001300867,1081
1080,95.0,0.001317295,1091
1090,95.0,0.001333045,1101
1100,95.0,0.001349024,1111
1110,95.0,0.001366552,1121
1120,95.0,0.001382772,1131
1130,95.0,0.001398977,1141
1140,95.0,0.001414896,1151
1150,95.0,0.001430663,1161
1160,95.0,0.00144732,1171
1170,95.0,0.001463272,1181
1180,95.0,0.001478732,1191
1190,95.0,0.001494631,1201
1200,95.0,0.001510703,1211
1210,95.0,0.001526974,1221
1220,95.0,0.001545122,1231
1230,95.0,0.001561714,1241
1240,95.0,0.001578161,1251
1250,95.0,0.001595399,1261
1260,95.0,0.001611206,1271
1270,95.0,0.001626897,1281
1280,95.0,0.001643786,1291
1290,95.0,0.001659552,1301
1300,95.0,0.001675745,1311
1310,95.0,0.001691976,1321
