iterations,fitness,time,fevals
0,279.0,0.003420536,644
10,279.0,0.006364711,1191
20,289.0,0.008965164,1745
30,284.0,0.011377393,2288
40,279.0,0.013904013,2835
50,288.0,0.016611202,3377
60,288.0,0.019466762,3922
70,285.0,0.022055678,4470
80,285.0,0.024250666,5015
90,285.0,0.026462313,5573
100,282.0,0.028629814,6116
110,284.0,0.030801563,6666
120,285.0,0.03296658,7211
130,281.0,0.035096632,7752
140,282.0,0.037227494,8306
150,282.0,0.039378316,8859
160,285.0,0.041480844,9410
170,284.0,0.043611296,9960
180,288.0,0.045982538,10500
190,288.0,0.047683177,11047
200,286.0,0.049380866,11598
210,286.0,0.051156659,12141
220,285.0,0.052621081,12689
230,288.0,0.054076429,13234
240,291.0,0.055562846,13785
250,286.0,0.057248814,14337
260,285.0,0.058760542,14880
270,285.0,0.061253099,15432
280,286.0,0.063040306,15978
290,287.0,0.064788222,16523
300,286.0,0.066573891,17064
310,286.0,0.068043419,17607
320,288.0,0.069501963,18153
330,288.0,0.071381651,18705
340,287.0,0.073285048,19255
350,289.0,0.075746815,19811
360,289.0,0.077927351,20357
370,288.0,0.080291206,20906
380,289.0,0.082351459,21457
390,287.0,0.084415198,22008
400,291.0,0.086465037,22552
410,291.0,0.0888046,23094
420,291.0,0.090974338,23644
430,289.0,0.093062321,24192
440,291.0,0.095161749,24743
450,289.0,0.097209096,25295
460,291.0,0.099259871,25850
470,293.0,0.101313127,26399
480,293.0,0.103351963,26944
490,293.0,0.105131124,27492
500,295.0,0.106936776,28039
510,295.0,0.108798646,28585
520,295.0,0.110923565,29129
530,295.0,0.11253597,29670
540,295.0,0.113989064,30222
550,293.0,0.115452017,30762
560,295.0,0.116897558,31311
570,293.0,0.11836624,31858
580,293.0,0.119827656,32405
590,295.0,0.121288942,32943
600,295.0,0.122764677,33495
610,297.0,0.124198968,34036
620,295.0,0.125652231,34585
630,295.0,0.127106162,35132
640,293.0,0.12855435,35673
650,293.0,0.129990685,36220
660,297.0,0.131403468,36764
670,295.0,0.132968499,37302
680,297.0,0.134643256,37844
690,295.0,0.136661404,38392
700,295.0,0.139308795,38937
710,295.0,0.141044704,39476
720,293.0,0.142528497,40026
730,295.0,0.144017846,40580
740,295.0,0.145611757,41133
750,295.0,0.147350772,41688
760,299.0,0.149282058,42230
770,295.0,0.15072367,42776
780,295.0,0.15214266,43316
790,295.0,0.153608268,43866
800,297.0,0.155020697,44407
810,295.0,0.15644686,44955
820,293.0,0.157913043,45502
830,295.0,0.159557994,46051
840,295.0,0.161152334,46594
850,293.0,0.162737887,47143
860,297.0,0.164748159,47688
870,295.0,0.167024045,48238
880,295.0,0.169283284,48779
890,295.0,0.171156541,49323
900,295.0,0.172821227,49874
910,295.0,0.174526766,50419
920,295.0,0.17600862,50959
930,297.0,0.177473712,51511
940,295.0,0.178931341,52064
950,295.0,0.180378557,52603
960,297.0,0.181863777,53155
970,297.0,0.183324288,53711
980,299.0,0.184762936,54258
990,301.0,0.186244029,54805
1000,301.0,0.187684032,55353
1010,299.0,0.189141266,55902
1020,299.0,0.190592172,56448
1030,301.0,0.192323726,56990
1040,301.0,0.194204864,57537
1050,301.0,0.196899953,58085
1060,301.0,0.19883775,58631
1070,303.0,0.200331272,59177
1080,303.0,0.201800781,59720
1090,303.0,0.203356478,60273
1100,303.0,0.2047943,60822
1110,305.0,0.206241249,61375
1120,305.0,0.20769947,61920
1130,305.0,0.209366803,62467
1140,303.0,0.211043694,63007
1150,305.0,0.212627746,63545
1160,303.0,0.214633748,64094
1170,301.0,0.216663937,64647
1180,303.0,0.218689509,65194
1190,303.0,0.220748184,65737
1200,305.0,0.22290845,66284
1210,303.0,0.224935763,66833
1220,305.0,0.227072701,67383
1230,305.0,0.228734728,67926
1240,305.0,0.230286907,68473
1250,305.0,0.232161902,69023
1260,307.0,0.233621244,69574
1270,307.0,0.235070873,70117
1280,303.0,0.236551232,70671
1290,305.0,0.23799667,71227
1300,305.0,0.239489745,71777
1310,307.0,0.240971685,72325
1320,307.0,0.242452544,72875
1330,305.0,0.244092387,73420
1340,305.0,0.245609981,73968
1350,305.0,0.247113007,74514
1360,305.0,0.248753871,75064
1370,307.0,0.251031648,75613
1380,305.0,0.252705593,76164
1390,305.0,0.254397594,76707
1400,305.0,0.256209639,77256
1410,305.0,0.257639994,77802
1420,305.0,0.259589638,78355
1430,305.0,0.26175462,78897
1440,303.0,0.263975943,79447
1450,303.0,0.26683687,79993
1460,301.0,0.268992187,80546
1470,301.0,0.271187489,81083
1480,301.0,0.273338995,81629
1490,301.0,0.275605525,82180
1500,303.0,0.27784243,82721
1510,303.0,0.280107268,83266
