iterations,fitness,time,fevals
0,253.0,5.2906e-05,11
10,255.0,0.00012134,21
20,259.0,0.000175019,31
30,259.0,0.000246413,41
40,265.0,0.000320768,51
50,265.0,0.000358227,61
60,265.0,0.000391048,71
70,267.0,0.000421774,81
80,267.0,0.000450961,91
90,267.0,0.000483471,101
100,269.0,0.000532864,111
110,269.0,0.000568545,121
120,269.0,0.000606316,131
130,269.0,0.000639122,141
140,271.0,0.000667789,151
150,273.0,0.000698207,161
160,275.0,0.000725017,171
170,275.0,0.000756201,181
180,277.0,0.000803722,191
190,277.0,0.000832779,201
200,277.0,0.000864375,211
210,279.0,0.000896145,221
220,281.0,0.000925251,231
230,281.0,0.000949146,241
240,283.0,0.000989802,251
250,283.0,0.001012913,261
260,283.0,0.001035539,271
270,287.0,0.001058315,281
280,291.0,0.001081811,291
290,291.0,0.00110463,301
300,293.0,0.001127515,311
310,299.0,0.001150723,321
320,301.0,0.001175495,331
330,303.0,0.00120079,341
340,303.0,0.001225719,351
350,303.0,0.001249886,361
360,303.0,0.001273962,371
370,307.0,0.00129743,381
380,307.0,0.001321097,391
390,307.0,0.001344296,401
400,307.0,0.001368546,411
410,307.0,0.001389941,421
420,309.0,0.001411762,431
430,309.0,0.001439039,441
440,309.0,0.001461938,451
450,313.0,0.001482421,461
460,313.0,0.001504684,471
470,313.0,0.001525716,481
480,313.0,0.001547988,491
490,313.0,0.00157197,501
500,313.0,0.001602358,511
510,313.0,0.001623087,521
520,317.0,0.001645845,531
530,319.0,0.001675462,541
540,323.0,0.001695536,551
550,323.0,0.001715245,561
560,323.0,0.001741292,571
570,325.0,0.001762916,581
580,329.0,0.001782962,591
590,331.0,0.001804135,601
600,333.0,0.001832299,611
610,333.0,0.001854451,621
620,333.0,0.001876929,631
630,333.0,0.001899968,641
640,333.0,0.001923322,651
650,333.0,0.001960162,661
660,335.0,0.002021517,671
670,337.0,0.002060279,681
680,337.0,0.002100534,691
690,339.0,0.002167734,701
700,341.0,0.00222946,711
710,343.0,0.002315794,721
720,343.0,0.00237016,731
730,343.0,0.002412714,741
740,343.0,0.002447944,751
750,343.0,0.002476797,761
760,343.0,0.002502864,771
770,343.0,0.002526035,781
780,343.0,0.002548923,791
790,343.0,0.002576302,801
800,343.0,0.002601497,811
810,343.0,0.002629719,821
820,343.0,0.002659054,831
830,345.0,0.00269306,841
840,345.0,0.002727737,851
850,345.0,0.002751148,861
860,345.0,0.002778161,871
870,345.0,0.002803578,881
880,345.0,0.002828005,891
890,349.0,0.002853558,901
900,351.0,0.002878826,911
910,351.0,0.00290271,921
920,351.0,0.00292981,931
930,353.0,0.002956049,941
940,353.0,0.002979554,951
950,353.0,0.003003483,961
960,353.0,0.003028092,971
970,353.0,0.003052735,981
980,353.0,0.003087937,991
990,355.0,0.003139039,1001
1000,355.0,0.003206742,1011
1010,355.0,0.003286277,1021
1020,355.0,0.003323015,1031
1030,355.0,0.003359587,1041
1040,355.0,0.00338711,1051
1050,355.0,0.003430612,1061
1060,357.0,0.003458854,1071
1070,357.0,0.003484149,1081
1080,357.0,0.003509507,1091
1090,357.0,0.003538613,1101
1100,357.0,0.003567422,1111
1110,357.0,0.003597636,1121
1120,357.0,0.003623869,1131
1130,357.0,0.003656357,1141
1140,357.0,0.003683193,1151
1150,357.0,0.003709097,1161
1160,359.0,0.003735454,1171
1170,361.0,0.003761003,1181
1180,361.0,0.00378652,1191
1190,361.0,0.00382522,1201
1200,361.0,0.003856596,1211
1210,361.0,0.003897254,1221
1220,361.0,0.003938777,1231
1230,361.0,0.003982561,1241
1240,363.0,0.004025955,1251
1250,363.0,0.004066985,1261
1260,363.0,0.004133228,1271
1270,363.0,0.004202415,1281
1280,363.0,0.004288424,1291
1290,363.0,0.004351711,1301
1300,363.0,0.004388143,1311
1310,363.0,0.004417811,1321
1320,363.0,0.00447033,1331
1330,363.0,0.004498009,1341
1340,363.0,0.00453806,1351
1350,363.0,0.004571801,1361
1360,363.0,0.004606008,1371
