iterations,fitness,time,fevals
0,250.0,2.1386e-05,11
10,249.0,3.80789999999e-05,21
20,249.0,5.41369999998e-05,31
30,253.0,6.97349999998e-05,41
40,255.0,8.33319999998e-05,51
50,259.0,0.000118907,61
60,259.0,0.000135078,71
70,259.0,0.000148699,81
80,259.0,0.00016497,91
90,263.0,0.000180411,101
100,263.0,0.000196907,111
110,263.0,0.000213202999999,121
120,269.0,0.000229923,131
130,269.0,0.000244706,141
140,271.0,0.000260089,151
150,271.0,0.000276094,161
160,271.0,0.00029643,171
170,275.0,0.000311948,181
180,277.0,0.000326383,191
190,279.0,0.000341405,201
200,283.0,0.000362915,211
210,285.0,0.0004071,221
220,285.0,0.000427404,231
230,287.0,0.00044498,241
240,287.0,0.000461335,251
250,287.0,0.000942206,261
260,289.0,0.000974956999999,271
270,291.0,0.000992485999999,281
280,291.0,0.001008973,291
290,291.0,0.001035624,301
300,291.0,0.001051759,311
310,291.0,0.001067571,321
320,297.0,0.001084111,331
330,299.0,0.001098914,341
340,301.0,0.001115646,351
350,301.0,0.001131547,361
360,301.0,0.001148007,371
370,307.0,0.001164754,381
380,307.0,0.001182013,391
390,313.0,0.001198085,401
400,315.0,0.001217336,411
410,317.0,0.001233243,421
420,319.0,0.001248617,431
430,319.0,0.001264667,441
440,319.0,0.001279475,451
450,319.0,0.00129329,461
460,319.0,0.001308069,471
470,319.0,0.001326816,481
480,321.0,0.001341423,491
490,325.0,0.001356584,501
500,325.0,0.001373285,511
510,325.0,0.001394793,521
520,325.0,0.001409021,531
530,325.0,0.00142304,541
540,327.0,0.001439041,551
550,329.0,0.001454316,561
560,329.0,0.001468826,571
570,329.0,0.001486343,581
580,329.0,0.001504086,591
590,331.0,0.001520335,601
600,331.0,0.001536839,611
610,331.0,0.00155417,621
620,333.0,0.001569783,631
630,333.0,0.00159186,641
640,335.0,0.001611871,651
650,337.0,0.0016286,661
660,337.0,0.001645034,671
670,337.0,0.001676079,681
680,337.0,0.001692482,691
690,337.0,0.001709625,701
700,337.0,0.001727949,711
710,339.0,0.001747608,721
720,341.0,0.00176501,731
730,341.0,0.001787109,741
740,341.0,0.001811076,751
750,341.0,0.001835456,761
760,345.0,0.001857677,771
770,345.0,0.001882417,781
780,347.0,0.00190981,791
790,347.0,0.00193324,801
800,347.0,0.001955139,811
810,347.0,0.001978375,821
820,347.0,0.002004251,831
830,349.0,0.002026192,841
840,351.0,0.002049039,851
850,351.0,0.002071875,861
860,351.0,0.002096243,871
870,351.0,0.002122253,881
880,351.0,0.002146922,891
890,353.0,0.002170123,901
900,355.0,0.002193214,911
910,355.0,0.002217527,921
920,355.0,0.002242154,931
930,357.0,0.002265917,941
940,357.0,0.002291127,951
950,357.0,0.002315135,961
960,357.0,0.002342575,971
970,359.0,0.002367039,981
980,359.0,0.002391452,991
990,359.0,0.002414872,1001
1000,359.0,0.002438248,1011
1010,361.0,0.002462837,1021
1020,361.0,0.003975632,1031
1030,363.0,0.004139495,1041
1040,363.0,0.004270026,1051
1050,363.0,0.004402523,1061
1060,363.0,0.004540593,1071
1070,367.0,0.004683188,1081
1080,369.0,0.004814463,1091
1090,369.0,0.004942636,1101
1100,369.0,0.005073615,1111
1110,369.0,0.00519742,1121
1120,369.0,0.005320724,1131
1130,369.0,0.005442438,1141
1140,369.0,0.005599104,1151
1150,369.0,0.005750214,1161
1160,370.0,0.005894535,1171
1170,370.0,0.00605547,1181
1180,370.0,0.006201092,1191
1190,370.0,0.006329551,1201
1200,370.0,0.006658713,1211
1210,372.0,0.006796475,1221
1220,372.0,0.006935714,1231
1230,378.0,0.007094544,1241
1240,378.0,0.007231128,1251
1250,378.0,0.007357231,1261
1260,378.0,0.007389263,1271
1270,378.0,0.00741979,1281
1280,378.0,0.007454833,1291
1290,378.0,0.007488165,1301
1300,378.0,0.007516735,1311
1310,378.0,0.007540689,1321
1320,378.0,0.007564523,1331
1330,378.0,0.007590599,1341
1340,380.0,0.007900452,1351
1350,382.0,0.007947152,1361
1360,382.0,0.007996908,1371
1370,382.0,0.008270297,1381
1380,382.0,0.008313038,1391
1390,382.0,0.008375287,1401
1400,382.0,0.008753707,1411
1410,382.0,0.009108859,1421
1420,382.0,0.009506483,1431
1430,384.0,0.009673579,1441
1440,384.0,0.009815169,1451
1450,384.0,0.00995764,1461
1460,384.0,0.010290145,1471
1470,384.0,0.010428387,1481
1480,384.0,0.010570729,1491
1490,384.0,0.010716577,1501
1500,384.0,0.010854812,1511
1510,386.0,0.010986263,1521
1520,386.0,0.011134219,1531
1530,386.0,0.011280222,1541
1540,386.0,0.011404104,1551
1550,386.0,0.011526613,1561
1560,386.0,0.011651945,1571
1570,388.0,0.011773475,1581
1580,388.0,0.011899428,1591
1590,388.0,0.012047025,1601
1600,388.0,0.012185067,1611
1610,388.0,0.012316349,1621
1620,388.0,0.012438819,1631
1630,388.0,0.012557381,1641
1640,388.0,0.012676696,1651
1650,388.0,0.012995331,1661
1660,388.0,0.013115722,1671
1670,388.0,0.013233698,1681
1680,388.0,0.013348737,1691
1690,388.0,0.013465101,1701
1700,388.0,0.013582907,1711
1710,388.0,0.013804649,1721
1720,388.0,0.013942089,1731
1730,388.0,0.014073343,1741
1740,388.0,0.014198949,1751
1750,390.0,0.014328666,1761
1760,390.0,0.014459696,1771
1770,390.0,0.014582158,1781
1780,390.0,0.01471301,1791
1790,390.0,0.014846137,1801
1800,390.0,0.014983819,1811
1810,390.0,0.015110233,1821
1820,390.0,0.015237247,1831
1830,390.0,0.015353009,1841
1840,390.0,0.015678064,1851
1850,390.0,0.01581682,1861
1860,390.0,0.015945226,1871
1870,390.0,0.01606989,1881
1880,390.0,0.016204498,1891
1890,390.0,0.016240457,1901
1900,392.0,0.016278341,1911
1910,392.0,0.016309973,1921
1920,392.0,0.016342732,1931
1930,392.0,0.016370465,1941
1940,392.0,0.016409103,1951
1950,394.0,0.016652315,1961
1960,394.0,0.016856302,1971
1970,394.0,0.016897117,1981
1980,394.0,0.01714517,1991
1990,394.0,0.017410428,2001
2000,394.0,0.017753107,2011
2010,396.0,0.018218122,2021
2020,396.0,0.018657728,2031
2030,396.0,0.018850754,2041
2040,396.0,0.019017542,2051
2050,396.0,0.019175852,2061
2060,396.0,0.019413697,2071
2070,396.0,0.019564774,2081
2080,396.0,0.019703202,2091
2090,396.0,0.019850847,2101
2100,396.0,0.019980857,2111
2110,396.0,0.020115416,2121
2120,396.0,0.020255576,2131
2130,396.0,0.020416246,2141
2140,396.0,0.020548577,2151
2150,396.0,0.020675748,2161
2160,396.0,0.020803514,2171
2170,398.0,0.020932497,2181
2180,398.0,0.021062207,2191
2190,398.0,0.021212703,2201
2200,398.0,0.021346811,2211
2210,398.0,0.02138,2221
2220,398.0,0.021525563,2231
2230,398.0,0.02166948,2241
2240,398.0,0.021699279,2251
2250,398.0,0.021814717,2261
2260,398.0,0.021936385,2271
2270,398.0,0.022205189,2281
2280,400.0,0.022260135,2291
2290,402.0,0.022492354,2301
2300,404.0,0.022678172,2311
2310,404.0,0.022849577,2321
2320,404.0,0.022994336,2331
2330,404.0,0.023139627,2341
2340,404.0,0.023313682,2351
2350,404.0,0.02345221,2361
2360,404.0,0.023605555,2371
2370,404.0,0.023787599,2381
2380,404.0,0.023959991,2391
2390,404.0,0.024098671,2401
2400,404.0,0.024231227,2411
2410,404.0,0.024364844,2421
2420,404.0,0.024494373,2431
2430,404.0,0.02460995,2441
2440,406.0,0.024638705,2451
2450,406.0,0.024680282,2461
2460,406.0,0.024710063,2471
2470,406.0,0.024738481,2481
2480,406.0,0.024764585,2491
2490,406.0,0.024790821,2501
2500,408.0,0.02500976,2511
2510,408.0,0.025266664,2521
2520,408.0,0.025480258,2531
2530,408.0,0.025655176,2541
2540,408.0,0.025972099,2551
2550,408.0,0.026344343,2561
2560,408.0,0.02684883,2571
2570,408.0,0.038352161,2581
2580,408.0,0.038388695,2591
2590,408.0,0.038422673,2601
2600,408.0,0.038448824,2611
2610,408.0,0.038474093,2621
2620,408.0,0.038505376,2631
2630,408.0,0.038530556,2641
2640,408.0,0.038555778,2651
2650,408.0,0.038579115,2661
2660,408.0,0.038602698,2671
2670,408.0,0.038627788,2681
2680,408.0,0.038652035,2691
2690,408.0,0.038676953,2701
2700,408.0,0.038701672,2711
2710,408.0,0.038725853,2721
2720,408.0,0.038751184,2731
2730,408.0,0.038776321,2741
2740,408.0,0.038824273,2751
