iterations,fitness,time
0,2761.57318183,0.000447856000001
10,3206.0981396,0.000892698000001
20,2995.97152579,0.001333243
30,3018.44563647,0.001783429
40,3244.43620209,0.002223035
50,3252.67182714,0.00267904
60,3301.44392962,0.003118184
70,3303.23314655,0.003568575
80,3222.44512998,0.004011125
90,3438.27757375,0.004448865
100,3330.38107279,0.004894292
110,3382.20893103,0.005353266
120,3406.00714773,0.005808943
130,3349.48219123,0.006256265
140,3287.6833228,0.006704752
150,3387.0727578,0.007162454
160,3369.71220869,0.007606304
170,3168.39765444,0.008054688
180,3154.75830924,0.008508747
190,3286.3249363,0.008973799
200,3313.00976892,0.009429995
210,3478.18634698,0.009903782
220,3458.62244522,0.010386024
230,3444.24248401,0.010862371
240,3536.37653331,0.01137612
250,3472.95800174,0.011872872
260,3364.98340687,0.012344011
270,3261.72941126,0.012870329
280,3305.0415615,0.013380371
290,3408.57423935,0.013861385
300,3477.99714455,0.014356727
310,3443.36214243,0.014849364
320,3480.61754721,0.015290706
330,3446.46929611,0.015724328
340,3465.9458703,0.016158037
350,3375.79561415,0.016593386
360,3377.07944064,0.017022841
370,3438.15514649,0.017452185
380,3487.51712895,0.017879796
390,3371.52333868,0.01832102
400,3410.39276926,0.018749648
410,3450.43807604,0.019197985
420,3325.98112454,0.019655103
430,3297.71686262,0.020120898
440,3302.98996374,0.020566107
450,3499.2208553,0.021012308
460,3497.39638068,0.021418139
470,3332.21150751,0.021875598
480,3282.94306611,0.022320111
490,3521.51237827,0.022768092
500,3458.01857383,0.023210662
510,3498.17361685,0.023663453
520,3494.94592576,0.024109232
530,3415.77184783,0.024553476
540,3430.85802282,0.024994353
550,3367.31012135,0.02545385
560,3466.9542256,0.02589489
570,3338.17529043,0.026341785
580,3345.06261913,0.026793556
590,3395.99784281,0.027236687
600,3358.44866651,0.027680615
610,3410.96132511,0.028127579
620,3610.69606722,0.028573121
630,3562.7243006,0.029029224
640,3532.58571027,0.029471543
650,3385.23939884,0.029925531
660,3525.03724671,0.030340458
670,3441.0342458,0.030726838
680,3506.67825482,0.031091168
690,3527.08563498,0.031524231
700,3542.92747153,0.031977077
710,3420.11989354,0.032438916
720,3374.16858389,0.032880922
730,3335.8727248,0.033327781
740,3594.16672229,0.033775709
750,3387.88015451,0.034218785
760,3381.7418558,0.034664615
770,3419.07146363,0.03511649
780,3445.36515681,0.035567701
790,3510.46978336,0.036027015
800,3543.37465405,0.036493495
810,3427.03313925,0.036974611
820,3498.31666164,0.037447245
830,3251.73390552,0.037952733
840,3330.03454004,0.038461419
850,3642.295805,0.038968233
860,3550.76784273,0.039440613
870,3385.55764096,0.039927952
880,3582.7582164,0.040421909
890,3628.02574592,0.040940294
900,3506.45133334,0.041412662
910,3520.95463889,0.0418784
920,3451.88952351,0.042323319
930,3521.45725122,0.042759057
940,3569.88947763,0.043205483
950,3629.43420319,0.043618474
960,3421.12638486,0.043993596
970,3476.8419642,0.044445671
980,3455.40687623,0.044903233
990,3482.49784952,0.045361978
1000,3345.20382025,0.045803511
1010,3503.15322454,0.04624052
1020,3420.33716342,0.046696142
1030,3286.45731947,0.047152494
1040,3252.75930726,0.047615655
1050,3227.81439926,0.048059405
1060,3331.58841787,0.048517238
1070,3387.8166213,0.048956801
1080,3505.84902254,0.049400617
1090,3530.33272278,0.049853482
1100,3453.21842722,0.050296213
1110,3396.79443534,0.050751788
1120,3481.50833363,0.051212368
1130,3464.32182634,0.051661155
1140,3487.92591131,0.052241165
1150,3388.23037896,0.052712752
1160,3356.49090679,0.053211345
1170,3433.97267948,0.05368061
1180,3356.61710659,0.054143489
1190,3429.41289101,0.054600734
1200,3424.12343383,0.055059522
1210,3565.31555235,0.055517175
1220,3468.01492902,0.055959719
1230,3297.39535555,0.056400991
1240,3546.92174244,0.056816799
1250,3419.05201023,0.057270254
1260,3379.710251,0.057711278
1270,3494.16420564,0.058157183
1280,3407.36541288,0.058622271
1290,3410.02410994,0.059063844
1300,3427.00240049,0.059511685
1310,3534.97225929,0.059954935
1320,3546.73373954,0.060399129
1330,3470.7955245,0.0608431
1340,3387.69368258,0.061280857
1350,3477.60507799,0.061740899
1360,3396.00882987,0.062205856
1370,3414.78707037,0.062663905
1380,3376.61068163,0.063132786
1390,3478.99815673,0.063625611
1400,3366.70847933,0.064097974
1410,3372.79666299,0.06457634
1420,3441.16300569,0.065092325
1430,3534.65841987,0.065598627
1440,3514.69562148,0.066065649
1450,3462.04401566,0.066588824
1460,3540.51779806,0.067095301
1470,3538.0481836,0.067608687
1480,3594.79060946,0.06806619
1490,3572.2377892,0.068519603
1500,3551.22675302,0.068918252
1510,3417.09155048,0.069361796
1520,3409.16742798,0.069805878
1530,3383.22420295,0.070235423
1540,3372.77346986,0.070667683
1550,3320.69516188,0.071133362
1560,3374.22488206,0.071591539
1570,3365.91600982,0.072065494
1580,3463.23326605,0.072509529
1590,3414.7654056,0.07295169
1600,3346.85675029,0.073389082
1610,3337.55962722,0.073834039
1620,3371.16533366,0.074281731
1630,3352.80781016,0.074738639
1640,3371.16795233,0.075183303
1650,3357.51726133,0.075634769
1660,3463.1997672,0.076080004
1670,3407.90523828,0.07652492
1680,3533.64942094,0.076982889
1690,3459.73109914,0.07742644
1700,3456.76455796,0.077847548
1710,3372.08296915,0.078302238
1720,3462.77464936,0.078741742
1730,3351.77947019,0.079183428
1740,3460.39340649,0.07962674
1750,3320.51876574,0.080077469
1760,3354.02067654,0.080521415
1770,3393.20706376,0.080964115
1780,3460.374513,0.081407635
1790,3375.83861814,0.081885331
1800,3497.25472216,0.082351897
1810,3437.53548767,0.082780322
1820,3326.73609935,0.083220668
1830,3356.6216592,0.083664741
1840,3397.0096573,0.084110962
1850,3479.02655229,0.084558797
