iterations,fitness,time
0,3800.4943202,0.016033579
10,3889.23033549,0.029305887
20,3871.17971375,0.04186702
30,3827.7022073,0.053845226
40,3881.48552309,0.063957376
50,3860.65845207,0.079328853
60,3798.70808218,0.089186965
70,3827.46293608,0.101601986
80,3827.46293608,0.113946394
90,3829.9009507,0.124780012
100,3798.70808218,0.138435109
110,3841.84036302,0.149317362
120,3841.9676035,0.159607341
130,3798.70808218,0.171677306
140,3830.27691217,0.182479207
150,3823.63538192,0.19449042
160,3820.26355717,0.208513603
170,3881.48552309,0.219893615
180,3835.2132752,0.231814244
190,3813.08550913,0.242591396
200,3827.7022073,0.254069471
210,3798.70808218,0.265292773
220,3881.48552309,0.275836165
230,3840.00832877,0.286426503
240,3798.70808218,0.296709189
250,3848.11305937,0.306263905
260,3881.48552309,0.317097417
270,3806.05447176,0.327017846
280,3837.77888692,0.336715691
290,3798.70808218,0.348458002
300,3840.00832877,0.359139488
310,3813.20514474,0.369904028
320,3825.46319657,0.381646941
330,3842.07963424,0.393675285
340,3830.88539649,0.40501092
350,3814.49249717,0.41642038
360,3827.46293608,0.425862013
370,3827.46293608,0.435643276
380,3841.84036302,0.445826194
390,3827.58257169,0.455192939
400,3830.27691217,0.464837247
410,3853.89304279,0.476057332
420,3870.33046298,0.485972034
430,3830.27691217,0.497072947
440,3798.70808218,0.50875435
450,3798.70808218,0.519491275
460,3860.65845207,0.530302073
470,3798.70808218,0.543735956
480,3839.67291826,0.554045847
490,3818.92283832,0.565034234
500,3827.7022073,0.574843867
510,3827.46293608,0.584930511
520,3860.65845207,0.597080939
530,3853.89304279,0.60664802
540,3880.13151164,0.617123142
550,3838.23178607,0.628909755
560,3798.70808218,0.640101318
570,3841.84036302,0.653250312
580,3798.70808218,0.664303547
590,3813.20514474,0.677959129
600,3819.50426928,0.688195793
610,3827.59017655,0.702510227
620,3835.2132752,0.715188245
630,3860.65845207,0.72799994
640,3823.63538192,0.738171862
650,3853.89304279,0.749672892
660,3816.3505426,0.760492404
670,3830.27691217,0.772765153
680,3820.50289105,0.783937431
690,3853.89304279,0.794733253
700,3835.2132752,0.806583584
710,3841.84036302,0.817357937
720,3798.70808218,0.827994397
730,3835.63291424,0.83884807
740,3829.03021639,0.848545669
750,3803.69132152,0.859568203
760,3803.69132152,0.870078003
770,3803.69132152,0.879798381
780,3814.3256056,0.889796869
790,3829.97375727,0.900398454
800,3798.70808218,0.910036437
810,3819.35820548,0.919947946
820,3860.65845207,0.930901258
830,3860.65845207,0.940984657
840,3881.48552309,0.952279157
850,3853.89304279,0.963407084
860,3815.08366862,0.973613434
870,3863.0627108,0.984977884
880,3857.7055664,0.995570156
890,3841.84036302,1.005778692
900,3814.49249717,1.017032824
910,3884.215177,1.02638668
920,3837.69755462,1.035730189
930,3803.69132152,1.046660321
940,3827.7022073,1.056080401
950,3873.48998139,1.065393396
960,3798.70808218,1.076589037
970,3827.7022073,1.085952994
980,3827.59017655,1.095392117
990,3860.65845207,1.107405917
1000,3819.35820548,1.117717078
1010,3798.70808218,1.127942224
1020,3833.73563242,1.139249571
1030,3798.70808218,1.149801856
1040,3881.48552309,1.160264017
1050,3881.48552309,1.171614722
1060,3873.48998139,1.181925985
1070,3848.56268165,1.192204229
1080,3798.70808218,1.203516054
1090,3798.70808218,1.213389554
1100,3872.20801607,1.224552827
1110,3803.33568391,1.23583439
1120,3835.2132752,1.245907793
1130,3864.74945964,1.258714161
1140,3830.27691217,1.269213146
1150,3813.08550913,1.279378012
1160,3819.26279458,1.293651018
1170,3813.08550913,1.302997281
1180,3823.20034092,1.315456564
1190,3802.38127697,1.327076946
1200,3841.15931655,1.337738451
1210,3853.89304279,1.34916194
1220,3850.11570684,1.359037699
1230,3847.34518967,1.369609485
1240,3811.06265309,1.383823341
1250,3881.48552309,1.394019534
1260,3798.70808218,1.404294522
1270,3848.56268165,1.415492489
1280,3804.88536763,1.425106185
1290,3827.46293608,1.435889213
1300,3839.91218948,1.448845761
1310,3860.65845207,1.461573915
1320,3827.46293608,1.47260126
1330,3835.2132752,1.4855759
1340,3837.62330175,1.495662968
1350,3804.88536763,1.509678884
1360,3842.07963424,1.519543909
1370,3873.48998139,1.531127435
1380,3798.70808218,1.543377255
1390,3827.46293608,1.558015727
1400,3819.35820548,1.568825443
1410,3828.82266816,1.579577848
1420,3848.56268165,1.591609328
1430,3798.70808218,1.60154517
1440,3798.70808218,1.611520586
1450,3884.66933784,1.625010369
1460,3813.20514474,1.63715022
1470,3860.59904638,1.64865566
1480,3853.35472914,1.662645973
1490,3842.48689435,1.672744044
1500,3830.27691217,1.6838993
1510,3830.27691217,1.693819039
1520,3830.27691217,1.703888804
1530,3830.27691217,1.715991806
1540,3837.62330175,1.727186909
1550,3885.46187277,1.738132046
1560,3857.86939247,1.750321598
1570,3848.59188545,1.761069765
1580,3850.92703546,1.774877372
1590,3845.89443558,1.788137578
1600,3830.27691217,1.798204079
1610,3830.27691217,1.809950237
1620,3885.46187277,1.82176652
1630,3859.03176606,1.833728247
1640,3857.86939247,1.845298662
1650,3848.59188545,1.855261426
1660,3830.27691217,1.866818111
