iterations,fitness,time,fevals
0,76.0,0.000492496,543
10,77.0,0.000962378999999,985
20,77.0,0.001416601,1454
30,75.0,0.001851569,1913
40,75.0,0.002288668,2372
50,74.0,0.002706069,2830
60,75.0,0.003166894,3294
70,74.0,0.003615372,3757
80,75.0,0.004073234,4206
90,75.0,0.004531992,4668
100,74.0,0.004971453,5114
110,79.0,0.005412692,5574
120,79.0,0.005861403,6025
130,79.0,0.006313296,6478
140,80.0,0.006757974,6933
150,80.0,0.007213989,7393
160,80.0,0.007660005,7839
170,83.0,0.00814603,8287
180,82.0,0.008650927,8737
190,82.0,0.009095437,9199
200,81.0,0.009560166,9658
210,82.0,0.0100297,10109
220,79.0,0.01049444,10571
230,82.0,0.010948831,11025
240,82.0,0.011359948,11489
250,79.0,0.0118301,11936
260,79.0,0.012308073,12401
270,78.0,0.01279655,12868
280,78.0,0.013278828,13321
290,78.0,0.01378533,13773
300,80.0,0.014310697,14230
310,79.0,0.014744848,14686
320,78.0,0.015164896,15140
330,78.0,0.015606206,15604
340,76.0,0.01603966,16055
350,76.0,0.016468093,16512
360,76.0,0.01692743,16969
370,79.0,0.017377984,17422
380,80.0,0.017810611,17891
390,78.0,0.018272555,18344
400,81.0,0.018718289,18797
410,82.0,0.019100021,19250
420,82.0,0.019495176,19706
430,82.0,0.019859832,20167
440,83.0,0.020250933,20618
450,83.0,0.020610276,21078
460,83.0,0.020974424,21524
470,82.0,0.02135086,21973
480,79.0,0.021722619,22424
490,79.0,0.022125657,22887
500,76.0,0.022495965,23333
510,77.0,0.02288082,23790
520,78.0,0.023266179,24248
530,79.0,0.023678475,24696
540,80.0,0.024052827,25151
550,80.0,0.02443451,25606
560,79.0,0.024783714,26052
570,80.0,0.025136285,26503
580,81.0,0.025504136,26978
590,80.0,0.025876411,27440
600,80.0,0.026270672,27882
610,80.0,0.026644492,28326
620,81.0,0.026994805,28783
630,81.0,0.027363894,29223
640,81.0,0.027735288,29682
650,81.0,0.028114285,30154
660,80.0,0.028481397,30599
670,78.0,0.028811342,31058
680,79.0,0.029177763,31513
690,82.0,0.029560994,31965
700,80.0,0.02992771,32426
710,80.0,0.030301692,32883
720,79.0,0.030675644,33337
730,83.0,0.031045672,33783
740,84.0,0.031373984,34240
750,85.0,0.031700146,34697
760,83.0,0.032015869,35152
770,84.0,0.032336677,35613
780,84.0,0.032663838,36069
790,83.0,0.032996126,36526
800,82.0,0.033389981,36978
810,82.0,0.033819109,37441
820,81.0,0.034251253,37895
830,81.0,0.034644949,38359
840,80.0,0.035051992,38816
850,83.0,0.035493836,39262
860,85.0,0.035865352,39719
870,83.0,0.036258564,40187
880,81.0,0.036635744,40639
890,82.0,0.037068571,41098
900,82.0,0.037498597,41550
910,84.0,0.037952544,42006
920,81.0,0.038425174,42463
930,81.0,0.038903751,42925
940,81.0,0.039371198,43379
950,81.0,0.039851698,43843
960,81.0,0.040382439,44311
970,80.0,0.04083124,44769
980,80.0,0.041260789,45221
990,82.0,0.041709393,45691
1000,79.0,0.042137859,46158
1010,81.0,0.042537892,46604
1020,80.0,0.042961796,47064
1030,80.0,0.043392807,47527
1040,77.0,0.043819119,47987
1050,80.0,0.044259176,48438
1060,80.0,0.044683533,48880
1070,84.0,0.045030467,49323
1080,78.0,0.045371984,49773
1090,81.0,0.045703058,50222
1100,80.0,0.046043318,50689
1110,77.0,0.046465083,51148
1120,80.0,0.046890116,51592
1130,79.0,0.047317094,52056
1140,78.0,0.047755822,52513
1150,77.0,0.048092551,52959
1160,78.0,0.048430991,53418
1170,79.0,0.048758441,53871
1180,77.0,0.049187104,54343
1190,81.0,0.049624103,54798
1200,79.0,0.050066184,55250
1210,77.0,0.050511419,55710
1220,77.0,0.050940691,56156
1230,77.0,0.051372899,56611
1240,75.0,0.051833669,57074
1250,77.0,0.052269571,57530
1260,77.0,0.0526993,57973
1270,77.0,0.053125256,58427
1280,79.0,0.053589723,58889
1290,79.0,0.05403452,59355
