iterations,fitness,time,fevals
0,77.0,0.031300226,1000
10,79.0,0.059856731,2100
20,82.0,0.085932058,3200
30,87.0,0.109578558,4300
40,87.0,0.1324605,5400
50,93.0,0.154323807,6500
60,91.0,0.177517047,7600
70,93.0,0.199893311,8700
80,91.0,0.223395897,9800
90,91.0,0.243583561,10900
100,91.0,0.262408194,12000
110,91.0,0.280992778,13100
120,92.0,0.300260722,14200
130,93.0,0.318708896,15300
140,92.0,0.337955853,16400
150,93.0,0.356585955,17500
160,93.0,0.374922154,18600
170,94.0,0.393967976,19700
180,92.0,0.41184634,20800
190,92.0,0.431150571,21900
200,93.0,0.449375212,23000
210,92.0,0.468398521,24100
220,93.0,0.487268209,25200
230,93.0,0.504933707,26300
240,92.0,0.522991012,27400
250,92.0,0.540861317,28500
260,92.0,0.557527141,29600
270,93.0,0.575497761,30700
280,93.0,0.592333139,31800
290,92.0,0.610830949,32900
300,92.0,0.627981846,34000
310,92.0,0.645456296,35100
320,92.0,0.663190181,36200
330,91.0,0.679953839,37300
340,95.0,0.700222389,38400
350,93.0,0.718164427,39500
360,92.0,0.737831193,40600
370,93.0,0.758787475,41700
380,93.0,0.776965625,42800
390,93.0,0.796899416,43900
400,93.0,0.814974947,45000
410,94.0,0.834141951,46100
420,94.0,0.853922143,47200
430,93.0,0.87228088,48300
440,93.0,0.89213163,49400
450,93.0,0.911188111,50500
460,94.0,0.931455334,51600
470,93.0,0.951716463,52700
480,93.0,0.970880387,53800
490,93.0,0.991554942,54900
500,93.0,1.012220113,56000
510,94.0,1.030924559,57100
520,94.0,1.051573138,58200
530,94.0,1.071505091,59300
540,94.0,1.089633571,60400
550,94.0,1.109786508,61500
560,94.0,1.128703759,62600
570,94.0,1.146164052,63700
580,93.0,1.167271122,64800
590,94.0,1.185729453,65900
600,93.0,1.204639275,67000
610,93.0,1.223514828,68100
620,93.0,1.240355492,69200
630,95.0,1.258945908,70300
640,94.0,1.276354936,71400
650,93.0,1.294368217,72500
660,94.0,1.312172698,73600
670,93.0,1.329081051,74700
680,93.0,1.348467186,75800
690,93.0,1.365215012,76900
700,93.0,1.386064146,78000
710,94.0,1.40356204,79100
720,93.0,1.420604454,80200
730,93.0,1.438129919,81300
740,93.0,1.455433792,82400
750,95.0,1.474939267,83500
760,96.0,1.493171295,84600
770,95.0,1.513697316,85700
780,94.0,1.533580687,86800
790,94.0,1.552988127,87900
800,96.0,1.574027172,89000
810,95.0,1.596614694,90100
820,95.0,1.618033223,91200
830,94.0,1.637366761,92300
840,96.0,1.657508342,93400
850,94.0,1.677042125,94500
860,96.0,1.696704637,95600
870,94.0,1.71903339,96700
880,95.0,1.740499521,97800
890,95.0,1.759682132,98900
900,96.0,1.779634654,100000
910,94.0,1.797724701,101100
920,94.0,1.818778975,102200
930,94.0,1.838753031,103300
940,95.0,1.858751786,104400
950,95.0,1.881149314,105500
960,96.0,1.901527459,106600
970,94.0,1.92348432,107700
980,95.0,1.942844554,108800
990,95.0,1.965391333,109900
1000,94.0,1.988406916,111000
1010,94.0,2.007181443,112100
1020,95.0,2.028080736,113200
1030,94.0,2.047170497,114300
1040,94.0,2.069594306,115400
1050,95.0,2.08931621,116500
1060,94.0,2.107791337,117600
1070,94.0,2.130569896,118700
1080,94.0,2.153014412,119800
1090,96.0,2.173787058,120900
1100,95.0,2.193523796,122000
1110,95.0,2.21399426,123100
1120,97.0,2.233245382,124200
1130,98.0,2.253354327,125300
1140,96.0,2.274164872,126400
1150,96.0,2.294972213,127500
1160,97.0,2.316706786,128600
1170,96.0,2.338779469,129700
1180,97.0,2.360123381,130800
1190,97.0,2.381642045,131900
1200,97.0,2.403392935,133000
1210,96.0,2.426472453,134100
1220,97.0,2.446969319,135200
1230,97.0,2.468721526,136300
1240,96.0,2.49018032,137400
1250,97.0,2.510746073,138500
1260,96.0,2.532168804,139600
1270,96.0,2.553426586,140700
1280,98.0,2.574883434,141800
1290,96.0,2.599634504,142900
1300,96.0,2.622872414,144000
1310,97.0,2.642432864,145100
1320,96.0,2.664203302,146200
1330,96.0,2.683183805,147300
1340,96.0,2.707256078,148400
1350,96.0,2.72581685,149500
1360,96.0,2.74579623,150600
1370,96.0,2.7676759,151700
1380,99.0,2.788836217,152800
1390,98.0,2.810934928,153900
1400,100.0,2.831012971,155000
1410,97.0,2.849623546,156100
1420,97.0,2.86886629,157200
1430,98.0,2.888469698,158300
1440,97.0,2.90593836,159400
1450,98.0,2.92664753,160500
1460,97.0,2.945298547,161600
1470,98.0,2.967095139,162700
1480,99.0,2.990035858,163800
1490,98.0,3.013617381,164900
1500,99.0,3.034669455,166000
1510,98.0,3.057451408,167100
1520,99.0,3.079217317,168200
1530,98.0,3.100362244,169300
1540,99.0,3.121125665,170400
1550,99.0,3.140540188,171500
1560,99.0,3.158900698,172600
1570,99.0,3.181382206,173700
1580,99.0,3.201449235,174800
1590,98.0,3.22193409,175900
1600,98.0,3.241225705,177000
1610,99.0,3.261611384,178100
1620,99.0,3.280431951,179200
1630,101.0,3.301227243,180300
1640,98.0,3.321174944,181400
1650,98.0,3.339803185,182500
1660,98.0,3.361970586,183600
1670,99.0,3.383809192,184700
1680,98.0,3.401229624,185800
1690,98.0,3.420423751,186900
1700,98.0,3.441767522,188000
1710,99.0,3.462331617,189100
1720,98.0,3.485674035,190200
1730,99.0,3.508186984,191300
1740,99.0,3.526764303,192400
1750,99.0,3.546473899,193500
1760,99.0,3.564628197,194600
1770,100.0,3.583399573,195700
1780,100.0,3.603217695,196800
1790,101.0,3.622037146,197900
1800,100.0,3.641245516,199000
1810,99.0,3.659557684,200100
