iterations,fitness,time,fevals
0,76.0,1.6914e-05,11
10,76.0,3.0254e-05,21
20,76.0,4.3957e-05,31
30,76.0,5.56190000001e-05,41
40,76.0,6.48350000001e-05,51
50,76.0,7.52480000001e-05,61
60,76.0,8.56910000001e-05,71
70,76.0,9.48030000002e-05,81
80,76.0,0.000108517,91
90,76.0,0.000118984,101
100,76.0,0.000127894,111
110,76.0,0.000138731,121
120,76.0,0.000146863,131
130,76.0,0.000157302,141
140,76.0,0.000168019,151
150,76.0,0.000177252,161
160,76.0,0.000210952,171
170,76.0,0.000233606,181
180,77.0,0.000269106,191
190,78.0,0.000318365,201
200,78.0,0.000344826,211
210,79.0,0.000400543,221
220,80.0,0.000441893,231
230,80.0,0.000463495,241
240,80.0,0.00047691,251
250,80.0,0.000489645,261
260,80.0,0.000502698,271
270,80.0,0.000512916,281
280,80.0,0.000523964,291
290,81.0,0.000535266,301
300,81.0,0.000546874,311
310,82.0,0.000558202,321
320,82.0,0.000568621,331
330,82.0,0.000579984,341
340,82.0,0.000591238,351
350,82.0,0.000605368,361
360,82.0,0.00061948,371
370,82.0,0.000631036,381
380,82.0,0.000646078,391
390,82.0,0.000659163,401
400,82.0,0.000670853,411
410,82.0,0.00068856,421
420,82.0,0.00070734,431
430,82.0,0.000726185,441
440,83.0,0.000749088,451
450,88.0,0.000770895,461
460,88.0,0.000786429,471
470,88.0,0.000799028,481
480,90.0,0.000810838,491
490,90.0,0.000824058,501
500,91.0,0.000835889,511
510,91.0,0.000845899,521
520,91.0,0.000855215,531
530,91.0,0.000864889,541
540,91.0,0.000873357,551
550,91.0,0.000883573,561
560,91.0,0.000892647,571
570,91.0,0.000901781,581
580,91.0,0.000909583,591
590,91.0,0.000919459,601
600,91.0,0.000930919,611
610,91.0,0.000944655,621
620,91.0,0.000955629,631
630,91.0,0.000964653,641
640,91.0,0.000973706,651
650,91.0,0.000988871,661
660,91.0,0.000996917,671
670,91.0,0.001006132,681
680,91.0,0.001014186,691
690,91.0,0.001023361,701
700,91.0,0.00103216,711
710,91.0,0.00104505,721
720,91.0,0.001054384,731
730,91.0,0.00106573,741
740,91.0,0.001073815,751
750,92.0,0.001085929,761
760,92.0,0.001094858,771
770,92.0,0.001103571,781
780,93.0,0.001115934,791
790,93.0,0.001124381,801
800,93.0,0.00113365,811
810,93.0,0.001141273,821
820,93.0,0.001150062,831
830,93.0,0.001158117,841
840,94.0,0.001166295,851
850,94.0,0.001175519,861
860,94.0,0.001185722,871
870,94.0,0.001195397,881
880,94.0,0.001203437,891
890,94.0,0.001212679,901
900,94.0,0.001221435,911
910,95.0,0.001229534,921
920,97.0,0.001241913,931
930,98.0,0.001250526,941
940,98.0,0.001260187,951
950,98.0,0.001269199,961
960,98.0,0.001283389,971
970,98.0,0.001294123,981
980,98.0,0.001302891,991
990,98.0,0.001312858,1001
1000,98.0,0.001325712,1011
1010,98.0,0.001333486,1021
1020,98.0,0.001342573,1031
1030,98.0,0.001350801,1041
1040,98.0,0.001363661,1051
1050,98.0,0.001372925,1061
1060,98.0,0.001380846,1071
1070,98.0,0.00139021,1081
1080,98.0,0.001399466,1091
1090,98.0,0.001407519,1101
1100,98.0,0.00141839,1111
1110,98.0,0.001426328,1121
1120,98.0,0.001438547,1131
1130,98.0,0.001447081,1141
1140,98.0,0.001455135,1151
1150,98.0,0.001464246,1161
1160,98.0,0.001474089,1171
1170,98.0,0.001482873,1181
1180,98.0,0.00149129,1191
1190,98.0,0.001504747,1201
1200,98.0,0.001515463,1211
1210,98.0,0.001529056,1221
1220,98.0,0.001539074,1231
1230,98.0,0.001547369,1241
1240,98.0,0.001555839,1251
1250,98.0,0.001564608,1261
1260,98.0,0.001574208,1271
1270,98.0,0.001583675,1281
1280,98.0,0.00159466,1291
1290,98.0,0.001603532,1301
1300,98.0,0.001614342,1311
1310,98.0,0.001624129,1321
1320,98.0,0.001635851,1331
1330,98.0,0.001644196,1341
1340,98.0,0.00165329,1351
1350,98.0,0.001663697,1361
1360,98.0,0.001671869,1371
1370,98.0,0.001680709,1381
1380,98.0,0.001688573,1391
1390,98.0,0.001696257,1401
1400,98.0,0.00170432,1411
1410,98.0,0.001712037,1421
1420,98.0,0.001720611,1431
1430,98.0,0.001732439,1441
1440,98.0,0.001740715,1451
1450,98.0,0.001752057,1461
1460,98.0,0.00176059,1471
1470,98.0,0.001768687,1481
1480,98.0,0.001777191,1491
1490,98.0,0.001785161,1501
1500,98.0,0.001794443,1511
1510,98.0,0.00180254,1521
1520,98.0,0.001815093,1531
1530,98.0,0.001823778,1541
1540,98.0,0.001833315,1551
1550,98.0,0.001842712,1561
1560,98.0,0.001852373,1571
1570,98.0,0.001861613,1581
1580,98.0,0.001870667,1591
1590,98.0,0.001879627,1601
1600,98.0,0.001889347,1611
1610,98.0,0.001897994,1621
1620,98.0,0.001907618,1631
1630,98.0,0.001916534,1641
1640,98.0,0.001925752,1651
1650,98.0,0.001936278,1661
1660,98.0,0.001945732,1671
1670,98.0,0.001956924,1681
1680,98.0,0.001966799,1691
1690,98.0,0.001975391,1701
1700,98.0,0.001984356,1711
1710,98.0,0.001993636,1721
1720,98.0,0.002002743,1731
1730,98.0,0.00201105,1741
1740,98.0,0.002018655,1751
1750,98.0,0.002026916,1761
1760,98.0,0.002036557,1771
1770,98.0,0.002052194,1781
1780,98.0,0.002060648,1791
1790,98.0,0.002068537,1801
1800,98.0,0.002076763,1811
1810,98.0,0.002097942,1821
1820,98.0,0.002107756,1831
1830,98.0,0.002116178,1841
1840,98.0,0.002125053,1851
1850,98.0,0.002133208,1861
1860,98.0,0.002142841,1871
1870,98.0,0.002151353,1881
1880,98.0,0.002160643,1891
1890,98.0,0.002171819,1901
1900,98.0,0.002181604,1911
1910,98.0,0.002190909,1921
1920,98.0,0.00219921,1931
1930,98.0,0.002206776,1941
1940,98.0,0.00221534,1951
1950,98.0,0.00237074,1961
1960,98.0,0.002379855,1971
1970,98.0,0.002389727,1981
1980,98.0,0.002398732,1991
1990,98.0,0.002407596,2001
2000,98.0,0.00241862,2011
2010,98.0,0.002428876,2021
2020,98.0,0.00243966,2031
2030,98.0,0.002458695,2041
2040,98.0,0.002469961,2051
2050,98.0,0.002480697,2061
2060,98.0,0.002510843,2071
2070,98.0,0.002531801,2081
2080,98.0,0.002549508,2091
2090,98.0,0.002613022,2101
2100,98.0,0.002655639,2111
2110,98.0,0.00269373,2121
2120,98.0,0.002738284,2131
2130,98.0,0.002785649,2141
2140,98.0,0.002819921,2151
2150,98.0,0.002846631,2161
2160,98.0,0.002866903,2171
2170,98.0,0.002910378,2181
2180,98.0,0.002940137,2191
2190,98.0,0.00295278,2201
2200,98.0,0.002964783,2211
2210,98.0,0.00297378,2221
2220,98.0,0.002989256,2231
2230,98.0,0.003003191,2241
2240,98.0,0.00301242,2251
2250,98.0,0.003028719,2261
2260,98.0,0.003040652,2271
2270,98.0,0.003051581,2281
2280,98.0,0.003062956,2291
2290,98.0,0.003072464,2301
2300,98.0,0.003084694,2311
2310,98.0,0.003095363,2321
2320,98.0,0.003105176,2331
2330,98.0,0.003115868,2341
2340,98.0,0.00313473,2351
2350,98.0,0.003144739,2361
2360,98.0,0.003154153,2371
2370,98.0,0.003163311,2381
2380,98.0,0.003174772,2391
2390,98.0,0.003183436,2401
2400,98.0,0.003192535,2411
2410,98.0,0.003200282,2421
2420,98.0,0.003208858,2431
2430,98.0,0.003219187,2441
2440,98.0,0.003228741,2451
2450,98.0,0.003240439,2461
2460,98.0,0.003248599,2471
2470,98.0,0.003256833,2481
2480,98.0,0.003266981,2491
2490,98.0,0.003280016,2501
2500,98.0,0.003289089,2511
2510,98.0,0.003297676,2521
2520,98.0,0.003306165,2531
2530,98.0,0.003318108,2541
2540,98.0,0.003326838,2551
2550,98.0,0.003336644,2561
2560,98.0,0.003345815,2571
2570,98.0,0.003354287,2581
2580,98.0,0.003364455,2591
2590,98.0,0.003372655,2601
2600,98.0,0.003381074,2611
2610,98.0,0.003393135,2621
2620,98.0,0.003401139,2631
2630,98.0,0.003410459,2641
2640,98.0,0.003418229,2651
2650,98.0,0.003428122,2661
2660,98.0,0.003436653,2671
2670,98.0,0.003445099,2681
2680,98.0,0.003455285,2691
2690,98.0,0.003465354,2701
2700,98.0,0.003475413,2711
2710,98.0,0.003483612,2721
2720,98.0,0.003491839,2731
2730,98.0,0.003501649,2741
2740,98.0,0.003510756,2751
2750,98.0,0.003519169,2761
2760,98.0,0.003526882,2771
2770,98.0,0.0035391,2781
2780,98.0,0.003547703,2791
2790,98.0,0.003556396,2801
2800,98.0,0.003567072,2811
2810,98.0,0.003574744,2821
2820,98.0,0.003585681,2831
2830,98.0,0.003595326,2841
2840,98.0,0.003603041,2851
2850,98.0,0.00361132,2861
2860,98.0,0.003618879,2871
2870,98.0,0.003627662,2881
2880,98.0,0.003635719,2891
2890,98.0,0.003643724,2901
2900,98.0,0.003652593,2911
2910,98.0,0.003660098,2921
2920,98.0,0.003668453,2931
2930,98.0,0.003679649,2941
2940,98.0,0.003687843,2951
2950,98.0,0.00369745,2961
2960,98.0,0.003705843,2971
2970,98.0,0.003713761,2981
2980,98.0,0.003723072,2991
