iterations,fitness,time,fevals
0,13.0,1.9785e-05,11
10,13.0,4.2185e-05,21
20,14.0,5.46739999999e-05,31
30,75.0,6.53479999999e-05,41
40,75.0,7.78959999999e-05,51
50,75.0,8.86439999999e-05,61
60,75.0,0.000102014,71
70,78.0,0.000112508,81
80,78.0,0.000123347,91
90,78.0,0.000134393,101
100,78.0,0.000147357,111
110,78.0,0.000158859,121
120,78.0,0.00016877,131
130,78.0,0.000179055,141
140,78.0,0.000192004,151
150,78.0,0.000213466,161
160,79.0,0.000226999,171
170,79.0,0.000240927,181
180,79.0,0.000253914,191
190,79.0,0.000265284,201
200,79.0,0.000278575,211
210,79.0,0.00030614,221
220,80.0,0.000317419,231
230,80.0,0.000336047,241
240,80.0,0.00034749,251
250,80.0,0.000359725,261
260,80.0,0.000370006,271
270,80.0,0.000379892,281
280,80.0,0.00039305,291
290,80.0,0.000403448,301
300,80.0,0.000417397,311
310,80.0,0.00042791,321
320,81.0,0.000437615,331
330,81.0,0.00044942,341
340,81.0,0.000459975,351
350,81.0,0.000471613,361
360,81.0,0.000481317,371
370,82.0,0.00049568,381
380,82.0,0.000506908,391
390,82.0,0.000515668,401
400,82.0,0.000528014,411
410,83.0,0.000538534,421
420,84.0,0.00054939,431
430,85.0,0.000560234,441
440,85.0,0.00057188,451
450,86.0,0.000583349,461
460,87.0,0.000600416,471
470,88.0,0.000613017,481
480,88.0,0.000624311,491
490,88.0,0.000636831,501
500,88.0,0.000648933,511
510,88.0,0.00065988,521
520,88.0,0.000672174,531
530,88.0,0.000685926,541
540,88.0,0.000700908,551
550,88.0,0.000711378,561
560,88.0,0.000723751,571
570,88.0,0.000737154,581
580,88.0,0.000748352,591
590,88.0,0.000761484,601
600,88.0,0.000772037,611
610,88.0,0.000782491,621
620,88.0,0.000794917,631
630,88.0,0.000805205,641
640,88.0,0.00081659,651
650,88.0,0.000828867,661
660,88.0,0.000842846999999,671
670,88.0,0.000854321999999,681
680,88.0,0.000864571999999,691
690,88.0,0.000875606999999,701
700,88.0,0.000892688999999,711
710,88.0,0.000906283999999,721
720,88.0,0.000922316999999,731
730,88.0,0.000939799999999,741
740,88.0,0.000958792999999,751
750,88.0,0.000978404999999,761
760,88.0,0.000997622999999,771
770,88.0,0.001015355,781
780,88.0,0.001034299,791
790,88.0,0.001052475,801
800,89.0,0.001070798,811
810,89.0,0.001092633,821
820,89.0,0.001113045,831
830,89.0,0.001132925,841
840,89.0,0.001152064,851
850,89.0,0.001171356,861
860,89.0,0.001190067,871
870,89.0,0.001211619,881
880,89.0,0.001232173,891
890,89.0,0.001254953,901
900,89.0,0.001273759,911
910,89.0,0.001297348,921
920,89.0,0.001317091,931
930,89.0,0.001337659,941
940,89.0,0.001357959,951
950,89.0,0.001377997,961
960,89.0,0.001398485,971
970,89.0,0.001417662,981
980,89.0,0.0014368,991
990,89.0,0.001456048,1001
1000,89.0,0.001476163,1011
1010,89.0,0.001496309,1021
1020,89.0,0.001515819,1031
1030,89.0,0.00153631,1041
1040,89.0,0.001555772,1051
1050,89.0,0.001576037,1061
1060,89.0,0.001595003,1071
1070,89.0,0.001613742,1081
1080,89.0,0.001633311,1091
1090,89.0,0.001651864,1101
1100,89.0,0.001672137,1111
1110,89.0,0.001691291,1121
1120,89.0,0.0017119,1131
1130,89.0,0.001732372,1141
1140,89.0,0.001753396,1151
1150,89.0,0.001772564,1161
1160,89.0,0.001792277,1171
1170,89.0,0.001811273,1181
1180,89.0,0.001830565,1191
1190,89.0,0.001850758,1201
1200,89.0,0.001869487,1211
1210,89.0,0.001889776,1221
1220,89.0,0.001908407,1231
1230,89.0,0.001927292,1241
1240,89.0,0.001945887,1251
1250,89.0,0.001965205,1261
1260,89.0,0.001985071,1271
1270,89.0,0.002004244,1281
1280,89.0,0.002024837,1291
1290,89.0,0.002045798,1301
1300,89.0,0.002067585,1311
1310,89.0,0.002089828,1321
1320,89.0,0.002109935,1331
1330,89.0,0.002128573,1341
1340,89.0,0.002153113,1351
1350,89.0,0.002173083,1361
1360,89.0,0.002192443,1371
1370,89.0,0.002213993,1381
1380,89.0,0.002232779,1391
1390,89.0,0.002252986,1401
1400,89.0,0.002274737,1411
1410,89.0,0.002292839,1421
1420,89.0,0.002312763,1431
1430,89.0,0.002330438,1441
1440,89.0,0.002352684,1451
1450,89.0,0.002370787,1461
1460,89.0,0.002390603,1471
1470,89.0,0.002409796,1481
1480,89.0,0.002428939,1491
1490,89.0,0.002447748,1501
1500,89.0,0.002467271,1511
1510,89.0,0.002487075,1521
1520,89.0,0.002508544,1531
1530,89.0,0.002528445,1541
1540,89.0,0.002547612,1551
1550,89.0,0.002567397,1561
1560,89.0,0.002586128,1571
1570,89.0,0.002604421,1581
1580,89.0,0.002627248,1591
1590,89.0,0.00264636,1601
1600,89.0,0.002664517,1611
1610,89.0,0.002685038,1621
1620,89.0,0.002705668,1631
1630,89.0,0.002725363,1641
1640,89.0,0.002745502,1651
1650,89.0,0.002764059,1661
1660,89.0,0.002783608,1671
1670,89.0,0.002803665,1681
1680,89.0,0.00282217,1691
1690,89.0,0.002841929,1701
1700,89.0,0.002860522,1711
1710,89.0,0.002880481,1721
1720,89.0,0.002898816,1731
1730,89.0,0.002921229,1741
1740,89.0,0.002941592,1751
1750,89.0,0.002960376,1761
1760,89.0,0.002980507,1771
1770,89.0,0.002999109,1781
1780,89.0,0.003017896,1791
1790,89.0,0.003038478,1801
1800,89.0,0.003058904,1811
1810,89.0,0.003077261,1821
1820,89.0,0.003096995,1831
1830,89.0,0.003119517,1841
1840,89.0,0.003139725,1851
1850,89.0,0.003161129,1861
1860,89.0,0.00318004,1871
1870,89.0,0.003202252,1881
1880,89.0,0.003221961,1891
1890,89.0,0.003244343,1901
1900,89.0,0.003264845,1911
1910,89.0,0.003285756,1921
1920,89.0,0.003308408,1931
1930,89.0,0.003334639,1941
1940,89.0,0.003362792,1951
1950,89.0,0.003401993,1961
1960,89.0,0.003431743,1971
1970,89.0,0.003458207,1981
1980,89.0,0.003489815,1991
1990,89.0,0.003536469,2001
2000,89.0,0.00356685,2011
2010,89.0,0.003596023,2021
2020,89.0,0.003622321,2031
2030,89.0,0.003646665,2041
2040,89.0,0.003669054,2051
2050,89.0,0.003699605,2061
2060,89.0,0.003739369,2071
2070,89.0,0.003779628,2081
2080,89.0,0.003827216,2091
2090,89.0,0.00388044,2101
2100,89.0,0.003923612,2111
2110,89.0,0.003973966,2121
2120,89.0,0.004007559,2131
2130,89.0,0.004054999,2141
2140,89.0,0.004124036,2151
2150,89.0,0.004206289,2161
2160,89.0,0.004233305,2171
2170,89.0,0.004259071,2181
2180,89.0,0.004282189,2191
2190,89.0,0.004303871,2201
