iterations,fitness,time,fevals
0,291.0,2.072578652,1000
10,321.0,3.978965537,2100
20,338.0,5.718087791,3200
30,364.0,7.285184553,4300
40,382.0,8.740600938,5400
50,386.0,10.075719131,6500
60,390.0,11.364907453,7600
70,398.0,12.672804536,8700
80,400.0,13.957654184,9800
90,404.0,15.205468733,10900
100,404.0,16.44382109,12000
110,404.0,17.66175302,13100
120,403.0,18.888779198,14200
130,404.0,20.086393159,15300
140,404.0,21.282316562,16400
150,406.0,22.471224196,17500
160,406.0,23.658749202,18600
170,406.0,24.855203521,19700
180,406.0,26.058734816,20800
190,406.0,27.247581604,21900
200,406.0,28.432292474,23000
210,404.0,29.617356544,24100
220,406.0,30.804923871,25200
230,406.0,32.004297761,26300
240,406.0,33.182456922,27400
250,404.0,34.376699643,28500
260,406.0,35.558986129,29600
270,408.0,36.748513667,30700
280,408.0,37.929849617,31800
290,406.0,39.131611581,32900
300,408.0,40.326484045,34000
310,406.0,41.561920371,35100
320,406.0,42.74577554,36200
330,406.0,43.93765798,37300
340,406.0,45.127477066,38400
350,404.0,46.294511021,39500
360,406.0,47.478583421,40600
370,406.0,48.661539717,41700
380,406.0,49.84132803,42800
390,408.0,51.053059677,43900
400,406.0,52.254235764,45000
410,410.0,53.430061686,46100
420,408.0,54.635639351,47200
430,408.0,55.818359119,48300
440,410.0,57.004939573,49400
450,408.0,58.175461986,50500
460,408.0,59.382059996,51600
470,408.0,60.559839344,52700
480,408.0,61.755528887,53800
490,410.0,62.942244515,54900
500,410.0,64.125517941,56000
510,412.0,65.334707599,57100
520,410.0,66.536448852,58200
530,410.0,67.747014671,59300
540,410.0,68.945818127,60400
550,410.0,70.193063338,61500
560,410.0,71.462483761,62600
570,408.0,72.771196517,63700
580,410.0,73.984490787,64800
590,410.0,75.211931353,65900
600,408.0,76.436959436,67000
610,410.0,77.820893339,68100
620,410.0,79.282904481,69200
630,410.0,80.694879098,70300
640,410.0,82.060294549,71400
650,408.0,83.435379415,72500
660,412.0,84.819216161,73600
670,408.0,86.05182768,74700
680,410.0,87.277112362,75800
690,410.0,88.531231132,76900
700,410.0,89.71131859,78000
710,408.0,90.911269446,79100
720,410.0,92.081829997,80200
730,410.0,93.287400092,81300
740,414.0,94.472700218,82400
750,410.0,95.665166193,83500
760,410.0,96.862619437,84600
770,410.0,98.05717804,85700
780,410.0,99.250810361,86800
790,410.0,100.428554039,87900
800,410.0,101.616310602,89000
810,408.0,102.812300354,90100
820,412.0,104.003055632,91200
830,408.0,105.22444439,92300
840,410.0,106.405958417,93400
850,410.0,107.5846809,94500
860,410.0,108.783112351,95600
870,412.0,109.9758783,96700
880,414.0,111.168706899,97800
890,412.0,112.355669704,98900
900,412.0,113.543622898,100000
910,412.0,114.751274058,101100
920,412.0,115.939530972,102200
930,412.0,117.126028093,103300
940,414.0,118.313422161,104400
950,414.0,119.484404777,105500
960,414.0,120.692395679,106600
970,414.0,121.895496925,107700
980,414.0,123.060344481,108800
990,412.0,124.252408494,109900
1000,414.0,125.463700444,111000
1010,414.0,126.65194819,112100
1020,412.0,127.838474247,113200
1030,414.0,129.052432742,114300
1040,412.0,130.241497701,115400
1050,414.0,131.43230531,116500
1060,414.0,132.638958507,117600
1070,414.0,133.823391736,118700
1080,414.0,135.036396465,119800
1090,414.0,136.235527852,120900
1100,412.0,137.48295766,122000
1110,414.0,138.894608638,123100
1120,414.0,140.337060732,124200
1130,414.0,141.766948616,125300
1140,414.0,143.200865208,126400
1150,412.0,144.663336093,127500
1160,414.0,146.190018072,128600
1170,414.0,147.71733933,129700
1180,414.0,149.207562048,130800
1190,414.0,150.623275716,131900
1200,414.0,152.062684607,133000
1210,414.0,153.473322189,134100
1220,414.0,154.814940025,135200
1230,414.0,156.206036024,136300
1240,412.0,157.520701277,137400
1250,414.0,158.84635031,138500
1260,410.0,160.125447648,139600
1270,414.0,161.43078191,140700
1280,414.0,162.65900368,141800
1290,416.0,163.86495132,142900
1300,414.0,165.05905342,144000
1310,414.0,166.253571372,145100
1320,414.0,167.414793143,146200
1330,414.0,168.605383754,147300
1340,414.0,169.773476644,148400
1350,414.0,170.946769039,149500
1360,414.0,172.137983847,150600
1370,414.0,173.321068269,151700
1380,412.0,174.5346678,152800
1390,412.0,175.78777998,153900
1400,414.0,177.036101414,155000
1410,414.0,178.250021891,156100
1420,412.0,179.433985741,157200
1430,414.0,180.636298428,158300
1440,414.0,181.809973258,159400
1450,414.0,182.986909563,160500
1460,414.0,184.169114765,161600
1470,412.0,185.336215499,162700
1480,414.0,186.493882623,163800
1490,414.0,187.669428307,164900
1500,414.0,188.837352262,166000
1510,414.0,190.019328927,167100
1520,414.0,191.268663778,168200
1530,412.0,192.511660542,169300
1540,414.0,193.735123124,170400
1550,412.0,194.933156512,171500
