iterations,fitness,time,fevals
0,249.0,0.001676272,11
10,249.0,0.003733735,21
20,249.0,0.00540656,31
30,249.0,0.006107181,41
40,251.0,0.007737942,51
50,255.0,0.008371647,61
60,255.0,0.00918935,71
70,259.0,0.009821155,81
80,261.0,0.010748712,91
90,261.0,0.011337492,101
100,263.0,0.011701531,111
110,263.0,0.012052728,121
120,263.0,0.012422096,131
130,269.0,0.012766209,141
140,273.0,0.013288375,151
150,275.0,0.014486756,161
160,283.0,0.014994764,171
170,283.0,0.015563065,181
180,285.0,0.015801692,191
190,285.0,0.016030839,201
200,285.0,0.016325893,211
210,287.0,0.016654834,221
220,289.0,0.017290186,231
230,291.0,0.017467622,241
240,291.0,0.017806597,251
250,291.0,0.017996313,261
260,295.0,0.0181319,271
270,297.0,0.018412295,281
280,297.0,0.018588427,291
290,299.0,0.018714714,301
300,301.0,0.018793932,311
310,303.0,0.018876605,321
320,303.0,0.018967212,331
330,303.0,0.019049855,341
340,303.0,0.019136385,351
350,305.0,0.019226121,361
360,305.0,0.019509208,371
370,311.0,0.019712682,381
380,313.0,0.01987788,391
390,315.0,0.020002392,401
400,315.0,0.020097971,411
410,317.0,0.020192818,421
420,317.0,0.020357312,431
430,319.0,0.020956882,441
440,319.0,0.021033203,451
450,319.0,0.021126677,461
460,319.0,0.021206243,471
470,323.0,0.021345448,481
480,323.0,0.021413404,491
490,325.0,0.021514858,501
500,327.0,0.021674919,511
510,327.0,0.021791897,521
520,331.0,0.021854218,531
530,331.0,0.021902939,541
540,331.0,0.021982477,551
550,331.0,0.022051771,561
560,333.0,0.022190726,571
570,335.0,0.022370168,581
580,341.0,0.022485156,591
590,343.0,0.022620692,601
600,345.0,0.0227133,611
610,347.0,0.022792269,621
620,347.0,0.02325342,631
630,349.0,0.023358962,641
640,351.0,0.023548046,651
650,351.0,0.023687874,661
660,351.0,0.023894985,671
670,355.0,0.024181003,681
680,355.0,0.024475447,691
690,355.0,0.024722772,701
700,355.0,0.024997085,711
710,355.0,0.025261436,721
720,355.0,0.02549086,731
730,355.0,0.025596521,741
740,357.0,0.025650577,751
750,357.0,0.025715684,761
760,357.0,0.02583118,771
770,357.0,0.025920027,781
780,359.0,0.025973948,791
790,361.0,0.026023454,801
800,361.0,0.026075943,811
810,361.0,0.026148052,821
820,361.0,0.026257615,831
830,361.0,0.026363198,841
840,361.0,0.026507945,851
850,361.0,0.02658208,861
860,361.0,0.026654453,871
870,361.0,0.026731653,881
880,363.0,0.026813079,891
890,365.0,0.026880544,901
900,365.0,0.026942469,911
910,365.0,0.027010386,921
920,365.0,0.027078311,931
930,365.0,0.027139789,941
940,365.0,0.027195378,951
