iterations,fitness,time,fevals
0,273.0,3.7405e-05,11
10,269.0,7.2464e-05,21
20,273.0,0.000131192,31
30,273.0,0.000170221,41
40,273.0,0.00020115,51
50,277.0,0.000234768,61
60,279.0,0.000269958,71
70,279.0,0.000305978,81
80,283.0,0.00034898,91
90,285.0,0.000383472999999,101
100,287.0,0.000414132,111
110,289.0,0.000446594,121
120,291.0,0.000478087999999,131
130,295.0,0.000515762,141
140,295.0,0.000548523,151
150,295.0,0.000603878999999,161
160,295.0,0.000636642999999,171
170,297.0,0.000673404999999,181
180,301.0,0.000705422999999,191
190,307.0,0.000801160999999,201
200,309.0,0.000841159999999,211
210,313.0,0.000884804999999,221
220,315.0,0.000927032999999,231
230,319.0,0.000967318999999,241
240,323.0,0.001007975,251
250,325.0,0.001044265,261
260,325.0,0.001091956,271
270,325.0,0.001129031,281
280,325.0,0.00115845,291
290,329.0,0.001202973,301
300,329.0,0.001239599,311
310,331.0,0.001277918,321
320,335.0,0.001310432,331
330,335.0,0.001349372,341
340,339.0,0.001385519,351
350,343.0,0.001419528,361
360,343.0,0.001456699,371
370,343.0,0.001493057,381
380,343.0,0.001531542,391
390,343.0,0.001565003,401
400,345.0,0.00160083,411
410,349.0,0.001631721,421
420,349.0,0.001664659,431
430,351.0,0.001697866,441
440,351.0,0.001733885,451
450,353.0,0.001766347,461
460,353.0,0.001801878,471
470,357.0,0.001835827,481
480,357.0,0.001865156,491
490,357.0,0.002000939,501
500,357.0,0.002040953,511
510,357.0,0.002075231,521
520,357.0,0.002107659,531
530,357.0,0.002159487,541
540,357.0,0.002223413,551
550,357.0,0.002266154,561
560,357.0,0.002334548,571
570,357.0,0.002423099,581
580,357.0,0.002518556,591
590,357.0,0.002584099,601
600,357.0,0.002624258,611
610,357.0,0.002672315,621
620,357.0,0.002713511,631
630,361.0,0.002773343,641
640,361.0,0.002807997,651
650,361.0,0.002841966,661
660,361.0,0.002880814,671
670,361.0,0.002980706,681
680,363.0,0.003024526,691
690,365.0,0.003054435,701
700,365.0,0.003081559,711
710,365.0,0.003106358,721
720,365.0,0.00313068,731
730,365.0,0.003158122,741
740,365.0,0.003190981,751
750,365.0,0.003225531,761
760,365.0,0.003258812,771
770,367.0,0.003288898,781
780,369.0,0.003319382,791
790,371.0,0.003348811,801
800,371.0,0.003379156,811
810,371.0,0.003407173,821
820,371.0,0.003440792,831
830,371.0,0.003473323,841
840,373.0,0.003505952,851
850,373.0,0.003535997,861
860,375.0,0.003569587,871
870,375.0,0.003599466,881
880,377.0,0.00362881,891
890,377.0,0.003657637,901
900,377.0,0.003687047,911
910,377.0,0.003718673,921
920,379.0,0.003747705,931
930,379.0,0.003777787,941
940,379.0,0.003806526,951
950,379.0,0.003837463,961
960,379.0,0.003865713,971
970,379.0,0.003893937,981
980,381.0,0.003924984,991
990,381.0,0.003957646,1001
1000,381.0,0.003987549,1011
1010,381.0,0.004022499,1021
1020,381.0,0.004062175,1031
1030,381.0,0.004097755,1041
1040,383.0,0.004128084,1051
1050,385.0,0.004161377,1061
1060,385.0,0.004193444,1071
1070,385.0,0.004231167,1081
1080,385.0,0.004297634,1091
1090,387.0,0.004335685,1101
1100,387.0,0.004369644,1111
1110,387.0,0.004407985,1121
1120,387.0,0.004440767,1131
1130,387.0,0.004478507,1141
1140,387.0,0.004517759,1151
1150,387.0,0.004554491,1161
1160,389.0,0.004606933,1171
1170,389.0,0.004641628,1181
1180,389.0,0.004674731,1191
1190,389.0,0.004713599,1201
1200,389.0,0.004763523,1211
1210,389.0,0.004813865,1221
1220,389.0,0.004849117,1231
1230,389.0,0.004890883,1241
1240,389.0,0.004917713,1251
1250,389.0,0.004958429,1261
1260,389.0,0.005003636,1271
1270,389.0,0.005053731,1281
1280,389.0,0.005122097,1291
1290,389.0,0.005177253,1301
1300,389.0,0.005232152,1311
1310,391.0,0.005274588,1321
1320,391.0,0.00532395,1331
1330,391.0,0.00539389,1341
1340,391.0,0.005466777,1351
1350,391.0,0.005506254,1361
1360,391.0,0.00554291,1371
1370,391.0,0.005583269,1381
1380,391.0,0.005615891,1391
1390,391.0,0.005651694,1401
1400,391.0,0.00569247,1411
1410,391.0,0.00572597,1421
1420,391.0,0.005757532,1431
1430,391.0,0.00579983,1441
1440,391.0,0.005831332,1451
1450,393.0,0.005863943,1461
1460,393.0,0.005901758,1471
1470,393.0,0.005941156,1481
1480,393.0,0.005974663,1491
1490,393.0,0.006008346,1501
1500,393.0,0.006038691,1511
1510,393.0,0.006081657,1521
1520,393.0,0.006119417,1531
1530,393.0,0.006156,1541
1540,393.0,0.006193864,1551
1550,393.0,0.006231341,1561
1560,395.0,0.006267274,1571
1570,395.0,0.006309917,1581
1580,395.0,0.006346602,1591
1590,395.0,0.00638238,1601
1600,395.0,0.00642426,1611
1610,395.0,0.006467661,1621
1620,395.0,0.006507353,1631
1630,397.0,0.006548908,1641
1640,397.0,0.006586891,1651
1650,397.0,0.006626399,1661
1660,397.0,0.006686285,1671
1670,397.0,0.006729192,1681
1680,397.0,0.00676947,1691
1690,399.0,0.006820089,1701
1700,399.0,0.006859441,1711
1710,401.0,0.006913936,1721
1720,401.0,0.006946064,1731
1730,401.0,0.006980568,1741
1740,403.0,0.007048851,1751
1750,403.0,0.007099733,1761
1760,403.0,0.00719793,1771
1770,403.0,0.00724764,1781
1780,403.0,0.00728893,1791
1790,403.0,0.007331331,1801
1800,403.0,0.007387372,1811
1810,403.0,0.007424483,1821
1820,403.0,0.007462132,1831
1830,403.0,0.007497653,1841
1840,403.0,0.007532848,1851
1850,405.0,0.007570298,1861
1860,405.0,0.007606022,1871
1870,405.0,0.007649168,1881
1880,405.0,0.007687485,1891
1890,407.0,0.007728094,1901
1900,407.0,0.00777124,1911
1910,407.0,0.007816167,1921
1920,407.0,0.007887034,1931
1930,407.0,0.007955101,1941
1940,407.0,0.008039462,1951
1950,409.0,0.008123769,1961
1960,409.0,0.008185345,1971
1970,411.0,0.008281948,1981
1980,411.0,0.008345514,1991
1990,411.0,0.008392633,2001
2000,411.0,0.008433621,2011
2010,411.0,0.008488422,2021
2020,411.0,0.008526116,2031
2030,411.0,0.008562132,2041
2040,411.0,0.008601458,2051
2050,411.0,0.008644442,2061
2060,411.0,0.008689836,2071
2070,411.0,0.008732364,2081
2080,411.0,0.008805133,2091
2090,413.0,0.008847144,2101
2100,413.0,0.008884568,2111
2110,413.0,0.008929754,2121
2120,413.0,0.008972791,2131
2130,413.0,0.009008805,2141
2140,413.0,0.009046663,2151
2150,413.0,0.009085954,2161
2160,413.0,0.009121459,2171
2170,413.0,0.009158759,2181
2180,413.0,0.009201252,2191
2190,413.0,0.009238946,2201
2200,413.0,0.009284244,2211
2210,413.0,0.009323622,2221
2220,413.0,0.009369216,2231
2230,413.0,0.009411116,2241
2240,413.0,0.009456028,2251
2250,413.0,0.009492578,2261
2260,413.0,0.009535504,2271
2270,413.0,0.009580601,2281
2280,413.0,0.009627225,2291
2290,413.0,0.009705976,2301
2300,413.0,0.009758969,2311
2310,413.0,0.009807065,2321
2320,414.0,0.009883588,2331
2330,414.0,0.009928365,2341
2340,414.0,0.009982464,2351
2350,414.0,0.010064125,2361
2360,414.0,0.010112393,2371
2370,414.0,0.01015471,2381
2380,414.0,0.010199016,2391
2390,414.0,0.010241021,2401
2400,414.0,0.010280209,2411
2410,414.0,0.010319438,2421
2420,414.0,0.010354943,2431
2430,414.0,0.010391908,2441
2440,414.0,0.010428217,2451
2450,414.0,0.010469712,2461
2460,414.0,0.010509047,2471
2470,414.0,0.010555479,2481
2480,414.0,0.010596316,2491
2490,414.0,0.01063716,2501
2500,414.0,0.010675304,2511
2510,414.0,0.010724455,2521
2520,418.0,0.010761358,2531
2530,418.0,0.010806194,2541
2540,418.0,0.010842526,2551
2550,418.0,0.010885276,2561
2560,420.0,0.010923404,2571
2570,420.0,0.010966275,2581
2580,420.0,0.011052764,2591
2590,420.0,0.011117723,2601
2600,420.0,0.01117484,2611
2610,420.0,0.011233864,2621
2620,420.0,0.011312648,2631
2630,420.0,0.011375463,2641
2640,420.0,0.011433344,2651
2650,420.0,0.011510163,2661
2660,420.0,0.011615176,2671
2670,420.0,0.011686318,2681
2680,420.0,0.011727755,2691
2690,420.0,0.011770581,2701
2700,420.0,0.011807032,2711
2710,420.0,0.011850913,2721
2720,420.0,0.0118916,2731
2730,420.0,0.011934018,2741
2740,420.0,0.011974381,2751
2750,420.0,0.012012779,2761
2760,420.0,0.012049536,2771
2770,420.0,0.012088538,2781
2780,420.0,0.012130129,2791
2790,420.0,0.012177197,2801
2800,420.0,0.012212185,2811
2810,420.0,0.012246133,2821
2820,420.0,0.012286745,2831
2830,420.0,0.012321081,2841
2840,420.0,0.01236147,2851
2850,420.0,0.012400149,2861
2860,420.0,0.012441393,2871
2870,420.0,0.012482288,2881
2880,420.0,0.012517612,2891
2890,420.0,0.012552566,2901
2900,420.0,0.012588303,2911
2910,420.0,0.012627353,2921
2920,422.0,0.012661634,2931
2930,422.0,0.01269713,2941
2940,422.0,0.01273863,2951
2950,422.0,0.01277813,2961
2960,422.0,0.012815049,2971
2970,424.0,0.012856586,2981
2980,424.0,0.012891623,2991
2990,424.0,0.012929634,3001
3000,424.0,0.01296313,3011
3010,424.0,0.01300664,3021
3020,424.0,0.013046052,3031
3030,424.0,0.013086568,3041
3040,424.0,0.013131119,3051
3050,424.0,0.013170588,3061
3060,424.0,0.01320901,3071
3070,424.0,0.013243926,3081
3080,424.0,0.013278531,3091
3090,424.0,0.013317866,3101
3100,424.0,0.013355101,3111
3110,424.0,0.013393458,3121
3120,428.0,0.013429207,3131
3130,428.0,0.013466455,3141
3140,428.0,0.013501775,3151
3150,428.0,0.013552432,3161
3160,428.0,0.013588474,3171
3170,428.0,0.013625513,3181
3180,430.0,0.013666948,3191
3190,430.0,0.013705996,3201
3200,430.0,0.013744861,3211
3210,430.0,0.013784796,3221
3220,430.0,0.013819331,3231
3230,430.0,0.013855466,3241
3240,430.0,0.01389176,3251
3250,432.0,0.013929418,3261
3260,432.0,0.013968887,3271
3270,432.0,0.014002827,3281
3280,432.0,0.014033977,3291
3290,432.0,0.014071649,3301
3300,432.0,0.014106225,3311
3310,432.0,0.014141207,3321
3320,432.0,0.014176556,3331
3330,432.0,0.014210376,3341
3340,432.0,0.01424379,3351
3350,432.0,0.014283469,3361
3360,432.0,0.014320477,3371
3370,432.0,0.01435425,3381
3380,432.0,0.014388228,3391
3390,432.0,0.014425428,3401
3400,432.0,0.014462428,3411
3410,432.0,0.014501079,3421
3420,432.0,0.014535794,3431
3430,432.0,0.014576339,3441
3440,432.0,0.047821122,3451
3450,432.0,0.047848187,3461
3460,432.0,0.047869777,3471
3470,432.0,0.047891464,3481
3480,432.0,0.04791047,3491
3490,432.0,0.047931993,3501
3500,432.0,0.047951695,3511
3510,432.0,0.047972764,3521
3520,434.0,0.047992505,3531
3530,434.0,0.048011467,3541
3540,434.0,0.048033697,3551
3550,434.0,0.048052456,3561
3560,434.0,0.048073036,3571
3570,434.0,0.048089982,3581
3580,436.0,0.0481092,3591
3590,436.0,0.048132727,3601
3600,436.0,0.048152725,3611
3610,436.0,0.048170058,3621
3620,436.0,0.048188388,3631
3630,436.0,0.04821272,3641
3640,438.0,0.048233008,3651
3650,438.0,0.04825306,3661
3660,438.0,0.048269901,3671
3670,438.0,0.048288818,3681
3680,438.0,0.048309473,3691
3690,438.0,0.048331526,3701
3700,438.0,0.048354949,3711
3710,438.0,0.048372476,3721
3720,438.0,0.048394199,3731
3730,438.0,0.048430746,3741
3740,438.0,0.048457678,3751
3750,438.0,0.048497097,3761
3760,438.0,0.048578618,3771
3770,438.0,0.048629541,3781
3780,438.0,0.048656822,3791
3790,438.0,0.048681121,3801
3800,438.0,0.048704895,3811
3810,438.0,0.048727623,3821
3820,438.0,0.048747605,3831
3830,438.0,0.048768508,3841
3840,438.0,0.048787286,3851
3850,438.0,0.048808607,3861
3860,438.0,0.048828977,3871
3870,438.0,0.048851467,3881
3880,440.0,0.048870967,3891
3890,440.0,0.048890565,3901
3900,440.0,0.048909694,3911
3910,440.0,0.048930724,3921
3920,440.0,0.048951922,3931
3930,440.0,0.048975626,3941
3940,440.0,0.048997116,3951
3950,440.0,0.049017207,3961
3960,440.0,0.04904024,3971
3970,440.0,0.049061112,3981
3980,440.0,0.049080769,3991
3990,440.0,0.049100416,4001
4000,440.0,0.049122088,4011
4010,440.0,0.049146671,4021
4020,440.0,0.049171223,4031
4030,442.0,0.049191767,4041
4040,442.0,0.049213572,4051
4050,442.0,0.049236666,4061
4060,442.0,0.049257003,4071
4070,442.0,0.049279436,4081
4080,442.0,0.049302316,4091
4090,442.0,0.04931943,4101
4100,442.0,0.049339361,4111
4110,442.0,0.049357057,4121
4120,442.0,0.049375427,4131
4130,442.0,0.049396556,4141
4140,442.0,0.04941463,4151
4150,442.0,0.049437804,4161
4160,442.0,0.049459481,4171
4170,442.0,0.049478617,4181
4180,442.0,0.04950131,4191
4190,442.0,0.049520676,4201
4200,442.0,0.049540154,4211
4210,442.0,0.049563649,4221
4220,442.0,0.049585899,4231
4230,442.0,0.049608118,4241
4240,442.0,0.049628316,4251
4250,442.0,0.049650065,4261
4260,442.0,0.049669124,4271
4270,442.0,0.049693335,4281
4280,442.0,0.049711827,4291
4290,442.0,0.0497317,4301
4300,442.0,0.049754702,4311
4310,442.0,0.049774094,4321
4320,442.0,0.049793202,4331
4330,442.0,0.049815764,4341
4340,442.0,0.049842913,4351
4350,442.0,0.049863516,4361
4360,442.0,0.049883979,4371
4370,442.0,0.049904626,4381
4380,442.0,0.049930667,4391
4390,442.0,0.049953619,4401
4400,442.0,0.049976241,4411
4410,442.0,0.050007393,4421
4420,442.0,0.050029382,4431
4430,442.0,0.050049856,4441
4440,442.0,0.050069718,4451
4450,442.0,0.050091412,4461
4460,442.0,0.050112798,4471
4470,442.0,0.050132111,4481
4480,442.0,0.05015089,4491
4490,442.0,0.05016919,4501
4500,442.0,0.050189851,4511
4510,442.0,0.050207677,4521
4520,442.0,0.050225525,4531
4530,442.0,0.050249162,4541
4540,442.0,0.050268814,4551
4550,442.0,0.0502913,4561
4560,442.0,0.050312028,4571
4570,442.0,0.050341357,4581
4580,442.0,0.050362788,4591
4590,442.0,0.05038201,4601
4600,444.0,0.050400096,4611
4610,444.0,0.050424094,4621
4620,444.0,0.050444915,4631
4630,444.0,0.05046459,4641
4640,444.0,0.050487501,4651
4650,446.0,0.050510713,4661
4660,446.0,0.050530832,4671
4670,446.0,0.050549482,4681
4680,446.0,0.05056973,4691
4690,446.0,0.050589163,4701
4700,446.0,0.050609564,4711
4710,446.0,0.050630294,4721
4720,446.0,0.050652131,4731
4730,446.0,0.050673434,4741
4740,446.0,0.050695246,4751
4750,446.0,0.050716418,4761
4760,446.0,0.050737907,4771
4770,446.0,0.050758448,4781
4780,446.0,0.050781916,4791
4790,446.0,0.050802329,4801
4800,446.0,0.050821407,4811
4810,446.0,0.050844148,4821
4820,448.0,0.050866556,4831
4830,448.0,0.050883747,4841
4840,448.0,0.050904731,4851
4850,448.0,0.050922805,4861
4860,448.0,0.050943334,4871
4870,448.0,0.050965412,4881
4880,448.0,0.050989031,4891
4890,448.0,0.05100821,4901
4900,448.0,0.051026165,4911
4910,448.0,0.051065467,4921
4920,448.0,0.051088966,4931
4930,448.0,0.051111629,4941
4940,448.0,0.05113118,4951
4950,448.0,0.051160505,4961
4960,448.0,0.051181481,4971
4970,448.0,0.051202815,4981
4980,448.0,0.051225152,4991
4990,448.0,0.051244861,5001
