iterations,fitness,time
0,2807.91823794,0.000199937000001
10,3073.91682864,0.000415423000001
20,3252.93914288,0.000728088000001
30,3332.42026944,0.000946098000001
40,3256.440431,0.001195975
50,3425.09407916,0.001432646
60,3461.75191361,0.001636772
70,3378.99849153,0.001836434
80,3345.37918189,0.002085345
90,3402.92706636,0.002329315
100,3420.75410839,0.002556094
110,3436.54458978,0.00276867
120,3477.07138589,0.003000199
130,3392.51846263,0.003245379
140,3448.86037295,0.003475081
150,3508.82428313,0.003714975
160,3461.63512364,0.003915454
170,3407.19623295,0.004131738
180,3458.37548461,0.004385852
190,3543.8962467,0.004655955
200,3538.36297614,0.004936095
210,3440.13878713,0.00520045
220,3535.55975732,0.005422653
230,3534.15142785,0.005646212
240,3573.25293104,0.005848532
250,3528.6412825,0.006089914
260,3553.81569078,0.006322568
270,3523.95993483,0.006580125
280,3504.39404286,0.006783428
290,3570.43725572,0.006975775
300,3540.0295009,0.007172496
310,3484.29843939,0.007382388
320,3563.65489258,0.007574222
330,3527.24892286,0.007774145
340,3541.51958981,0.007962845
350,3534.95179687,0.008160945
360,3571.4629681,0.008349739
370,3581.65812865,0.008560256
380,3534.73493891,0.008758925
390,3452.96446242,0.00894635
400,3544.26902549,0.009143824
410,3472.47957749,0.009338798
420,3472.47957749,0.009536529
430,3482.44771666,0.00972802
440,3464.13274338,0.009917925
450,3547.7482487,0.010121743
460,3535.39367779,0.010316885
470,3498.62702292,0.010514725
480,3503.87763836,0.010742342
490,3516.54874135,0.01095788
500,3537.62773934,0.011157097
510,3558.27786264,0.011354467
520,3602.67167235,0.011543284
530,3557.43770433,0.011748224
540,3454.98183609,0.011937076
550,3473.59989363,0.012134547
560,3459.62543161,0.012322827
570,3501.78081827,0.012514185
580,3446.97819762,0.012713082
590,3501.75094935,0.012901601
600,3501.75094935,0.013111188
610,3590.96178977,0.013332285
620,3586.74217728,0.013523543
630,3594.49042218,0.013713255
640,3555.90240994,0.013902829
650,3594.60661058,0.014097662
660,3606.99172679,0.014286633
670,3678.20971645,0.014482657
680,3648.2460208,0.01467269
690,3550.87163252,0.014860666
700,3549.21113267,0.015060143
710,3572.50359873,0.015254755
720,3474.59041458,0.015460952
730,3520.70773098,0.015664495
740,3536.70481716,0.015865251
750,3645.85563151,0.016061131
760,3645.85563151,0.01625021
770,3614.93212258,0.016444664
780,3637.93059486,0.016644354
790,3634.91260552,0.016845263
800,3633.7396147,0.017043029
810,3647.91011502,0.017232412
820,3675.54150368,0.017428524
830,3668.74677561,0.017617163
840,3650.40524129,0.017810613
850,3650.40524129,0.017999209
860,3693.3693432,0.018187385
870,3632.66249959,0.018399217
880,3680.06622349,0.01858582
890,3709.09950585,0.018775
900,3637.52449391,0.018958019
910,3659.16479746,0.019185031
920,3643.12087675,0.019375557
930,3643.12087675,0.019565015
940,3642.99230461,0.019761799
950,3650.07384261,0.019972096
960,3619.39263262,0.02017605
970,3644.42275931,0.020364143
980,3667.15029813,0.020551627
990,3667.15029813,0.02075199
