iterations,fitness,time
0,3461.12965899,0.01788754
10,3577.91074746,0.032331341
20,3554.33883662,0.045134077
30,3554.33883662,0.055359803
40,3554.33883662,0.067208859
50,3554.33883662,0.077984348
60,3554.33883662,0.088467173
70,3554.33883662,0.101605094
80,3554.33883662,0.114228453
90,3554.33883662,0.126132389
100,3554.33883662,0.138685086
110,3554.33883662,0.148756016
120,3554.33883662,0.159840882
130,3554.33883662,0.170211959
140,3554.33883662,0.180417283
150,3554.33883662,0.192303149
160,3554.33883662,0.204403073
170,3554.33883662,0.214627907
180,3554.33883662,0.226168574
190,3554.33883662,0.23702165
200,3583.39805942,0.247974886
210,3554.33883662,0.259847567
220,3554.33883662,0.270631181
230,3554.33883662,0.282114269
240,3554.33883662,0.293317121
250,3554.33883662,0.304043437
260,3554.33883662,0.316249867
270,3559.69483869,0.326129279
280,3684.14957506,0.335766169
290,3554.33883662,0.347272976
300,3554.33883662,0.357762444
310,3590.1718225,0.368230949
320,3554.33883662,0.379050338
330,3554.33883662,0.388624018
340,3554.33883662,0.398167159
350,3554.33883662,0.409108425
360,3554.33883662,0.418525608
370,3554.33883662,0.428451408
380,3554.33883662,0.440125565
390,3554.33883662,0.451878293
400,3554.33883662,0.464496561
410,3570.32339626,0.476520581
420,3554.33883662,0.486823534
430,3554.33883662,0.497718578
440,3554.33883662,0.512237299
450,3554.33883662,0.522161446
460,3554.33883662,0.533373243
470,3585.37862336,0.543280611
480,3559.69483869,0.553630423
490,3554.33883662,0.565344553
500,3554.33883662,0.575266399
510,3554.33883662,0.586063288
520,3559.69483869,0.59802008
530,3554.33883662,0.60947804
540,3554.33883662,0.622423676
550,3554.33883662,0.633741968
560,3560.61979396,0.64559964
570,3554.33883662,0.657868053
580,3554.33883662,0.668469448
590,3554.33883662,0.680206977
600,3554.33883662,0.690717055
610,3554.33883662,0.702805687
620,3554.33883662,0.714738093
630,3554.33883662,0.725077534
640,3565.21077403,0.735700668
650,3559.69483869,0.748237697
660,3554.33883662,0.759336126
670,3576.08338749,0.772587168
680,3554.33883662,0.783642319
690,3563.91270134,0.795943365
700,3554.33883662,0.807521448
710,3554.33883662,0.817722469
720,3554.33883662,0.828885881
730,3554.33883662,0.839596151
740,3554.33883662,0.849741201
750,3554.33883662,0.861475203
760,3554.33883662,0.871766738
770,3554.33883662,0.882923408
780,3554.33883662,0.895034174
790,3554.33883662,0.906221723
800,3554.33883662,0.917478009
810,3554.33883662,0.929312648
820,3554.33883662,0.940850424
830,3554.33883662,0.95309211
840,3559.69483869,0.964055622
850,3554.33883662,0.974874059
860,3554.33883662,0.987643361
870,3554.33883662,0.99849099
880,3554.33883662,1.010035821
890,3554.33883662,1.021670573
900,3554.33883662,1.032267649
910,3554.33883662,1.043818716
920,3554.33883662,1.053414748
930,3554.33883662,1.06383697
940,3554.33883662,1.074756383
950,3554.33883662,1.084628956
960,3554.33883662,1.094252624
970,3554.33883662,1.10526055
980,3554.33883662,1.115710438
990,3554.33883662,1.126123815
1000,3554.33883662,1.137617949
1010,3554.33883662,1.147772844
1020,3554.33883662,1.157314786
1030,3559.69483869,1.170455696
1040,3554.33883662,1.179956939
1050,3554.33883662,1.190028889
1060,3554.33883662,1.200606624
1070,3554.33883662,1.210213114
1080,3554.33883662,1.221221545
1090,3554.33883662,1.232554297
1100,3554.33883662,1.242993373
1110,3554.33883662,1.254224767
1120,3554.33883662,1.265608564
1130,3554.33883662,1.276050417
1140,3554.33883662,1.287724853
1150,3554.33883662,1.297981458
1160,3554.33883662,1.309411103
1170,3554.33883662,1.322578417
1180,3554.33883662,1.333855946
1190,3554.33883662,1.345746158
1200,3577.2623927,1.35816643
1210,3554.33883662,1.368796509
1220,3579.88980628,1.382557379
1230,3554.33883662,1.393451834
1240,3554.33883662,1.407850649
1250,3554.33883662,1.418916755
1260,3554.33883662,1.429789731
1270,3554.33883662,1.445865915
1280,3554.33883662,1.46158038
1290,3554.33883662,1.473929746
1300,3554.33883662,1.483805365
1310,3554.33883662,1.494022151
1320,3554.33883662,1.506450934
1330,3554.33883662,1.516392569
1340,3554.33883662,1.526945032
1350,3554.33883662,1.537904202
1360,3554.33883662,1.55014293
1370,3580.47168332,1.562061687
1380,3554.33883662,1.57343147
1390,3554.33883662,1.584867492
1400,3554.33883662,1.596598838
1410,3554.33883662,1.607143635
1420,3554.33883662,1.622280358
1430,3554.33883662,1.633584733
1440,3554.33883662,1.643669322
1450,3554.33883662,1.65569587
1460,3554.33883662,1.668797845
1470,3554.33883662,1.680840884
1480,3554.33883662,1.693012191
1490,3554.33883662,1.704171489
1500,3554.33883662,1.717268378
1510,3554.33883662,1.729320188
1520,3554.33883662,1.739697689
1530,3573.65992665,1.752227164
1540,3554.33883662,1.76518831
1550,3624.36040299,1.776883102
1560,3554.33883662,1.787245022
1570,3554.33883662,1.798726383
1580,3554.33883662,1.81050501
1590,3554.33883662,1.82087363
1600,3554.33883662,1.833242248
1610,3554.33883662,1.845165058
1620,3554.33883662,1.856463606
1630,3554.33883662,1.868963495
1640,3554.33883662,1.880395672
1650,3554.33883662,1.891837649
1660,3554.33883662,1.904401901
1670,3554.33883662,1.91553165
1680,3554.33883662,1.93143932
1690,3554.33883662,1.943834941
1700,3554.33883662,1.956711838
1710,3554.33883662,1.968195173
1720,3554.33883662,1.979516235
1730,3554.33883662,1.991949745
1740,3554.33883662,2.006217133
1750,3584.33997453,2.018386483
1760,3567.16824772,2.02987456
1770,3554.33883662,2.041696164
1780,3555.64888117,2.053507183
1790,3554.33883662,2.063915004
1800,3554.33883662,2.074626421
1810,3554.33883662,2.086218598
1820,3554.33883662,2.099004606
1830,3554.33883662,2.113993025
1840,3554.33883662,2.124336383
1850,3566.57738576,2.136616626
1860,3554.33883662,2.147536446
1870,3554.33883662,2.160966939
1880,3554.33883662,2.17244885
1890,3554.33883662,2.182798132
1900,3554.33883662,2.192948224
1910,3554.33883662,2.205128452
1920,3554.33883662,2.216245439
1930,3554.33883662,2.228322676
1940,3554.33883662,2.242339156
1950,3554.33883662,2.255816697
1960,3554.33883662,2.267356948
1970,3554.33883662,2.27767063
1980,3554.33883662,2.288424836
1990,3554.33883662,2.300005077
2000,3554.33883662,2.310175944
2010,3554.33883662,2.321319631
2020,3554.33883662,2.332219352
2030,3554.33883662,2.342640111
2040,3554.33883662,2.353978732
2050,3554.33883662,2.367459803
2060,3554.33883662,2.377950203
2070,3554.33883662,2.389917244
2080,3554.33883662,2.401057586
2090,3559.69483869,2.416175574
2100,3554.33883662,2.428526395
2110,3554.33883662,2.438722886
2120,3554.33883662,2.451064852
2130,3554.33883662,2.461731835
2140,3554.33883662,2.473766945
2150,3554.33883662,2.485851852
2160,3592.09978847,2.496913758
2170,3554.33883662,2.509568404
2180,3554.33883662,2.521560857
2190,3554.33883662,2.539389871
2200,3554.33883662,2.549416895
2210,3554.33883662,2.562122847
2220,3554.33883662,2.573565472
2230,3554.33883662,2.583513935
2240,3554.33883662,2.594081798
2250,3559.69483869,2.605989454
2260,3554.33883662,2.616820376
2270,3554.33883662,2.629548669
2280,3554.33883662,2.639530115
2290,3554.33883662,2.649405445
2300,3554.33883662,2.663091964
2310,3554.33883662,2.673771336
2320,3554.33883662,2.687155773
2330,3554.33883662,2.700857289
2340,3554.33883662,2.711654377
2350,3554.33883662,2.723812842
2360,3554.33883662,2.734516892
2370,3554.33883662,2.745951359
2380,3554.33883662,2.758120555
2390,3554.33883662,2.768998766
2400,3554.33883662,2.781187224
2410,3559.69483869,2.792039522
2420,3554.33883662,2.802822747
2430,3554.33883662,2.814936027
2440,3559.69483869,2.824914724
2450,3559.69483869,2.837716902
2460,3554.33883662,2.849350471
2470,3614.86623867,2.860202695
2480,3554.33883662,2.87275162
2490,3554.33883662,2.885007613
2500,3559.41124746,2.896166299
2510,3554.33883662,2.907745783
2520,3554.33883662,2.918488582
2530,3554.33883662,2.931679195
2540,3554.33883662,2.943816755
2550,3554.33883662,2.95504727
2560,3559.69483869,2.968166837
2570,3554.33883662,2.978290499
2580,3554.33883662,2.989528101
2590,3554.33883662,3.001842318
2600,3559.69483869,3.012776801
2610,3554.33883662,3.025027685
2620,3554.33883662,3.035856202
2630,3554.33883662,3.046746066
2640,3556.13251254,3.059047852
2650,3554.33883662,3.069858844
2660,3604.82715105,3.081065003
2670,3554.33883662,3.091557262
2680,3554.33883662,3.101449615
2690,3554.33883662,3.113577211
2700,3554.33883662,3.12867262
2710,3554.33883662,3.140005216
2720,3554.33883662,3.154180017
2730,3554.33883662,3.164225957
2740,3578.22749387,3.176476438
2750,3578.29570265,3.187488775
2760,3554.33883662,3.198339051
2770,3554.33883662,3.210241082
2780,3554.33883662,3.221166828
2790,3554.33883662,3.232511152
2800,3554.33883662,3.244547752
2810,3554.33883662,3.255296349
2820,3554.33883662,3.267585028
2830,3554.33883662,3.278383541
2840,3554.33883662,3.289308086
2850,3554.33883662,3.301090936
2860,3554.33883662,3.314252443
2870,3554.33883662,3.325240478
2880,3554.33883662,3.335773926
2890,3554.33883662,3.345691026
2900,3554.33883662,3.358592376
2910,3554.33883662,3.369667865
2920,3554.33883662,3.381350996
2930,3554.33883662,3.393600557
2940,3554.33883662,3.403508344
2950,3554.33883662,3.413562921
2960,3554.33883662,3.428725629
2970,3585.85911948,3.440120841
2980,3554.33883662,3.452855826
2990,3554.33883662,3.464326152
3000,3554.33883662,3.47466632
3010,3554.33883662,3.4864829
3020,3554.33883662,3.496435476
3030,3554.33883662,3.506967381
3040,3554.33883662,3.517982832
3050,3554.33883662,3.52795186
3060,3554.33883662,3.539850368
3070,3554.33883662,3.551247725
3080,3554.33883662,3.56212045
3090,3570.02578657,3.574423885
3100,3554.33883662,3.584274161
3110,3573.92377534,3.597275755
3120,3565.52558837,3.608382314
3130,3567.94516442,3.618387204
3140,3554.33883662,3.628874534
3150,3556.62069549,3.64376356
3160,3554.33883662,3.653584816
3170,3554.33883662,3.665053812
3180,3554.33883662,3.675130556
3190,3554.33883662,3.685146298
3200,3554.33883662,3.699899531
3210,3554.33883662,3.709763944
3220,3554.33883662,3.724106955
